category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.040566666666667,0.1544234941825744
Species_Morphology,Narra.crown_diameter_m,low,12.0,2.988616666666667,0.16038850921711595
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.15475,0.014664469532399207
Species_Morphology,Narra.height_m,low,24.0,4.170100000000001,0.021597376383872567
Species_Morphology,Narra.height_m,high,36.0,4.112666666666667,0.04035687329591084
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.174416666666667,0.03452270589369029
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.145316666666667,0.03078236327654022
Species_Morphology,Talisay.height_m,low,28.0,4.162133333333332,0.03203134749307637
Species_Morphology,Talisay.height_m,high,42.0,4.15575,0.015583805696940659
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.191083333333334,0.01126723371354094
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.119649999999999,0.02065155361387296
Species_Morphology,Banaba.height_m,low,9.0,4.162400000000001,0.02821137477448872
Species_Morphology,Banaba.height_m,high,18.0,4.178366666666666,0.024299737081339683
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.163583333333334,0.01910097437886943
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.194266666666667,0.003837606314126081
Species_Morphology,Kabiki.height_m,low,9.0,4.145483333333334,0.004711923410054739
Species_Morphology,Kabiki.height_m,high,18.0,4.1809666666666665,0.01334743004809901
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.164816666666667,0.02951153258567838
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.142916666666667,0.026897841714325275
Species_Morphology,Duhat.height_m,low,14.0,4.172483333333333,0.03499748403655445
Species_Morphology,Duhat.height_m,high,30.0,4.144383333333333,0.02304937936016694
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.15325,0.03450002415458097
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.183933333333333,0.010798173713899554
Species_Morphology,Akleng-parang.height_m,low,18.0,4.1854000000000005,0.005400462943119169
Species_Morphology,Akleng-parang.height_m,high,30.0,4.187216666666666,0.013995793018697517
Species_Allometry,Narra.l0,low,0.2125,4.157933333333333,0.007484910746888284
Species_Allometry,Narra.l0,high,0.2875,4.1818333333333335,0.014536524878923426
Species_Allometry,Narra.l1,low,1.615,4.165500000000001,0.026126997531289727
Species_Allometry,Narra.l1,high,2.1849999999999996,4.165066666666667,0.021654111747092124
Species_Allometry,Narra.h0,low,43.52,4.173333333333333,0.012684986751624144
Species_Allometry,Narra.h0,high,58.879999999999995,4.155883333333334,0.045916125223667885
Species_Allometry,Narra.h1,low,0.6375,4.190616666666667,0.00673452959670409
Species_Allometry,Narra.h1,high,0.8624999999999999,4.14095,0.017152599414277284
Species_Allometry,Talisay.l0,low,0.17,4.159466666666667,0.01807854775386831
Species_Allometry,Talisay.l0,high,0.22999999999999998,4.126916666666666,0.01349409335804219
Species_Allometry,Talisay.l1,low,1.53,4.197500000000001,0.00366878726556863
Species_Allometry,Talisay.l1,high,2.07,4.15775,0.03311014446762006
Species_Allometry,Talisay.h0,low,40.120000000000005,4.1290000000000004,0.008395336006775951
Species_Allometry,Talisay.h0,high,54.28,4.159466666666667,0.04085062899012579
Species_Allometry,Talisay.h1,low,0.6034999999999999,4.149183333333333,0.044619452658627996
Species_Allometry,Talisay.h1,high,0.8164999999999999,4.1782,0.01990494076018978
Species_Allometry,Banaba.l0,low,0.17,4.192983333333333,0.007363121318812867
Species_Allometry,Banaba.l0,high,0.22999999999999998,4.15065,0.031089735712396944
Species_Allometry,Banaba.l1,low,1.53,4.140983333333334,0.0379676250976481
Species_Allometry,Banaba.l1,high,2.07,4.1116166666666665,0.025140715096344166
Species_Allometry,Banaba.h0,low,38.93,4.146066666666666,0.04038775254400231
Species_Allometry,Banaba.h0,high,52.669999999999995,4.174083333333333,0.02510542216777556
Species_Allometry,Banaba.h1,low,0.612,4.181066666666667,0.009427825247049024
Species_Allometry,Banaba.h1,high,0.828,4.174483333333334,0.009899522996364752
Species_Allometry,Kabiki.l0,low,0.187,4.1641,0.027224896694018737
Species_Allometry,Kabiki.l0,high,0.253,4.1672166666666675,0.019036908595906146
Species_Allometry,Kabiki.l1,low,1.5725,4.154816666666666,0.032500829049254706
Species_Allometry,Kabiki.l1,high,2.1275,4.1885666666666665,0.02099501263527961
Species_Allometry,Kabiki.h0,low,41.225,4.16135,0.028397388377572063
Species_Allometry,Kabiki.h0,high,55.775,4.183133333333333,0.012126852664873762
Species_Allometry,Kabiki.h1,low,0.6204999999999999,4.181083333333333,0.006957769438229549
Species_Allometry,Kabiki.h1,high,0.8394999999999999,4.159400000000001,0.04374393291265251
Species_Allometry,Duhat.l0,low,0.153,4.139883333333333,0.017529514793310327
Species_Allometry,Duhat.l0,high,0.207,4.150233333333333,0.03387615516685568
Species_Allometry,Duhat.l1,low,1.4875,4.144866666666667,0.04078493049590169
Species_Allometry,Duhat.l1,high,2.0124999999999997,4.160566666666667,0.004212943019895809
Species_Allometry,Duhat.h0,low,35.955,4.160583333333333,0.030643387903791536
Species_Allometry,Duhat.h0,high,48.644999999999996,4.13005,0.036100854098852546
Species_Allometry,Duhat.h1,low,0.595,4.162416666666666,0.03191711487935911
Species_Allometry,Duhat.h1,high,0.8049999999999999,4.190766666666668,0.007978756516873691
Species_Allometry,Akleng-parang.l0,low,0.1275,4.129033333333333,0.038744469139335165
Species_Allometry,Akleng-parang.l0,high,0.1725,4.171833333333333,0.017251875904440765
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,4.156833333333333,0.024777823866424485
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,4.167883333333333,0.03975253311285791
Species_Allometry,Akleng-parang.h0,low,39.185,4.155866666666667,0.03472540696505805
Species_Allometry,Akleng-parang.h0,high,53.015,4.137383333333333,0.03888809443632968
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,4.162966666666667,0.037915571412752744
Species_Allometry,Akleng-parang.h1,high,0.782,4.132816666666667,0.050065645795184785
Cooling_Model,decay_lambda,low,1.2,4.192099999999999,0.003741880097847476
Cooling_Model,decay_lambda,high,2.8,4.155,0.032279947335768576
Cooling_Model,cca_threshold,low,0.8,4.166033333333334,0.02708419998613381
Cooling_Model,cca_threshold,high,1.6,4.1351,0.027253470726985543
Cooling_Model,competition_k,low,2.5,4.1168499999999995,0.02236168598294857
Cooling_Model,competition_k,high,7.5,4.152033333333335,0.034216013145244695
Weighting,shade_weight,low,0.5,4.160466666666667,0.018572575361417848
Weighting,shade_weight,high,0.9,4.1184,0.03262455619110642
