parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.988616666666667,4.15475,1.1661333333333328,0.38352500082221497
Banaba.crown_diameter_m,Species_Morphology,4.191083333333334,4.119649999999999,0.07143333333333501,0.023493427760176835
Narra.height_m,Species_Morphology,4.170100000000001,4.112666666666667,0.05743333333333389,0.018889022879507292
Narra.h1,Species_Allometry,4.190616666666667,4.14095,0.04966666666666697,0.016334674457612167
Akleng-parang.l0,Species_Allometry,4.129033333333333,4.171833333333333,0.04279999999999973,0.014076323492331382
Banaba.l0,Species_Allometry,4.192983333333333,4.15065,0.042333333333333556,0.013922843329642573
shade_weight,Weighting,4.160466666666667,4.1184,0.04206666666666692,0.0138351403795346
Talisay.l1,Species_Allometry,4.197500000000001,4.15775,0.03975000000000062,0.013073221000471607
decay_lambda,Cooling_Model,4.192099999999999,4.155,0.0370999999999988,0.012201672933772915
Kabiki.height_m,Species_Morphology,4.145483333333334,4.1809666666666665,0.035483333333332645,0.011669973798743427
competition_k,Cooling_Model,4.1168499999999995,4.152033333333335,0.03518333333333512,0.01157130797987276
Kabiki.l1,Species_Allometry,4.154816666666666,4.1885666666666665,0.03375000000000039,0.011099904623041886
Talisay.l0,Species_Allometry,4.159466666666667,4.126916666666666,0.03255000000000052,0.010705241347556
cca_threshold,Cooling_Model,4.166033333333334,4.1351,0.03093333333333348,0.010173542212526221
Akleng-parang.crown_diameter_m,Species_Morphology,4.15325,4.183933333333333,0.030683333333333174,0.010091320696799886
Kabiki.crown_diameter_m,Species_Morphology,4.163583333333334,4.194266666666667,0.030683333333332286,0.010091320696799593
Duhat.h0,Species_Allometry,4.160583333333333,4.13005,0.030533333333333523,0.01004198778736426
Talisay.h0,Species_Allometry,4.1290000000000004,4.159466666666667,0.03046666666666642,0.01002006204983712
Akleng-parang.h1,Species_Allometry,4.162966666666667,4.132816666666667,0.0301499999999999,0.009915914796583936
Banaba.l1,Species_Allometry,4.140983333333334,4.1116166666666665,0.029366666666667207,0.009658287380641943
Talisay.crown_diameter_m,Species_Morphology,4.174416666666667,4.145316666666667,0.02909999999999968,0.009570584430533676
Talisay.h1,Species_Allometry,4.149183333333333,4.1782,0.029016666666667135,0.00954317725862519
Duhat.h1,Species_Allometry,4.162416666666666,4.190766666666668,0.02835000000000143,0.009323919883355547
Duhat.height_m,Species_Morphology,4.172483333333333,4.144383333333333,0.028100000000000236,0.009241698367628918
Banaba.h0,Species_Allometry,4.146066666666666,4.174083333333333,0.0280166666666668,0.00921429119572014
Narra.l0,Species_Allometry,4.157933333333333,4.1818333333333335,0.023900000000000254,0.007860376903428173
Duhat.crown_diameter_m,Species_Morphology,4.164816666666667,4.142916666666667,0.021899999999999586,0.00720260477761807
Kabiki.h0,Species_Allometry,4.16135,4.183133333333333,0.021783333333333488,0.007164234736946014
Kabiki.h1,Species_Allometry,4.181083333333333,4.159400000000001,0.021683333333331944,0.007131346130655013
Akleng-parang.h0,Species_Allometry,4.155866666666667,4.137383333333333,0.018483333333334073,0.006078910729359902
Narra.h0,Species_Allometry,4.173333333333333,4.155883333333334,0.0174499999999993,0.005739061797690989
Banaba.height_m,Species_Morphology,4.162400000000001,4.178366666666666,0.015966666666665574,0.0052512141377151975
Duhat.l1,Species_Allometry,4.144866666666667,4.160566666666667,0.015699999999999825,0.005163511187607515
Akleng-parang.l1,Species_Allometry,4.156833333333333,4.167883333333333,0.011050000000000004,0.003634190995099599
Duhat.l0,Species_Allometry,4.139883333333333,4.150233333333333,0.010350000000000747,0.0034039707510663845
Banaba.h1,Species_Allometry,4.181066666666667,4.174483333333334,0.0065833333333333854,0.0021651665807908786
Talisay.height_m,Species_Morphology,4.162133333333332,4.15575,0.006383333333332075,0.002099389368209459
Kabiki.l0,Species_Allometry,4.1641,4.1672166666666675,0.0031166666666671006,0.0010250282293872085
Akleng-parang.height_m,Species_Morphology,4.1854000000000005,4.187216666666666,0.0018166666666656894,0.0005974763476103213
Narra.l1,Species_Allometry,4.165500000000001,4.165066666666667,0.00043333333333350765,0.00014251729392553175
