parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.0824166666666666,4.425050000000001,1.342633333333334,0.4356111198230694
Kabiki.h0,Species_Allometry,4.40935,4.426,0.016650000000000276,0.005402014805522149
Banaba.l1,Species_Allometry,4.427233333333334,4.411183333333334,0.016049999999999898,0.005207347605323034
Narra.h0,Species_Allometry,4.412183333333334,4.427016666666667,0.01483333333333281,0.004812605782697161
competition_k,Cooling_Model,4.42415,4.411366666666666,0.012783333333334035,0.004147492848684332
Akleng-parang.l1,Species_Allometry,4.4139,4.4260166666666665,0.012116666666666553,0.003931195959574075
Talisay.height_m,Species_Morphology,4.413150000000001,4.424666666666667,0.011516666666666175,0.0037365287593749594
Narra.l1,Species_Allometry,4.41685,4.425816666666667,0.00896666666666679,0.0029091931585294374
Duhat.h1,Species_Allometry,4.427316666666667,4.4186499999999995,0.008666666666667489,0.002811859558430168
Duhat.l0,Species_Allometry,4.422533333333333,4.413916666666666,0.008616666666666717,0.002795637291746668
Banaba.h0,Species_Allometry,4.418566666666667,4.426816666666667,0.008250000000000313,0.0026766740027362574
Narra.l0,Species_Allometry,4.418816666666666,4.4268833333333335,0.00806666666666711,0.002617192358231052
Banaba.l0,Species_Allometry,4.415566666666667,4.422783333333334,0.007216666666667315,0.0023414138246158783
Narra.height_m,Species_Morphology,4.4257,4.4184833333333335,0.007216666666666427,0.00234141382461559
Talisay.crown_diameter_m,Species_Morphology,4.419933333333334,4.426966666666667,0.007033333333333225,0.0022819321801103845
Akleng-parang.h0,Species_Allometry,4.426166666666667,4.419250000000001,0.006916666666666238,0.002244080224516032
Talisay.h1,Species_Allometry,4.426433333333333,4.420816666666667,0.005616666666665715,0.001822301290751377
Akleng-parang.h1,Species_Allometry,4.426866666666666,4.421683333333333,0.0051833333333330955,0.0016817083128301137
Akleng-parang.height_m,Species_Morphology,4.4263,4.421616666666666,0.004683333333334261,0.0015194856459979976
Duhat.crown_diameter_m,Species_Morphology,4.422383333333333,4.417966666666667,0.004416666666666735,0.0014329668903537219
Kabiki.h1,Species_Allometry,4.42765,4.423283333333333,0.004366666666666852,0.0014167446236705104
Akleng-parang.crown_diameter_m,Species_Morphology,4.423633333333334,4.419366666666666,0.004266666666667973,0.0013843000903043753
Kabiki.l0,Species_Allometry,4.424716666666668,4.4280333333333335,0.0033166666666657463,0.0010760770233219136
Talisay.l1,Species_Allometry,4.418566666666666,4.421683333333333,0.0031166666666671006,0.0010111879565893552
Kabiki.crown_diameter_m,Species_Morphology,4.4275166666666665,4.4251499999999995,0.002366666666667072,0.0007678539563406046
Duhat.l1,Species_Allometry,4.424449999999999,4.422116666666667,0.0023333333333326323,0.000757039111884746
Narra.h1,Species_Allometry,4.419966666666666,4.417783333333333,0.002183333333332982,0.0007083723118351111
Duhat.h0,Species_Allometry,4.425966666666667,4.427983333333334,0.0020166666666669997,0.000654298089557835
Banaba.height_m,Species_Morphology,4.424366666666667,4.42305,0.0013166666666668547,0.000427186355992296
Talisay.h0,Species_Allometry,4.4256,4.426733333333334,0.0011333333333336526,0.00036770471148709065
cca_threshold,Cooling_Model,4.4265,4.4254500000000005,0.0010499999999993292,0.0003406676003480204
shade_weight,Weighting,4.425816666666667,4.424783333333334,0.0010333333333329975,0.00033526017812037927
Akleng-parang.l0,Species_Allometry,4.427366666666667,4.426383333333334,0.000983333333333114,0.00031903791143716764
Kabiki.l1,Species_Allometry,4.417033333333333,4.416216666666667,0.0008166666666662437,0.00026496368915960347
decay_lambda,Cooling_Model,4.427583333333334,4.42685,0.0007333333333336967,0.0002379265780211095
Kabiki.height_m,Species_Morphology,4.428016666666667,4.427466666666667,0.0005500000000004945,0.0001784449335159042
Talisay.l0,Species_Allometry,4.4272833333333335,4.4278,0.0005166666666669428,0.0001676300890603337
Banaba.crown_diameter_m,Species_Morphology,4.4254,4.424916666666667,0.00048333333333250295,0.00015681524460447508
Banaba.h1,Species_Allometry,4.427016666666667,4.4274,0.000383333333332736,0.00012437071123805183
Duhat.height_m,Species_Morphology,4.4282,4.4282,0.0,0.0
