category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.082183333333333,0.00688553233639612
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.0824166666666666,0.009763053939327764
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.425050000000001,0.0012267844146389407
Species_Morphology,Narra.height_m,low,24.0,4.4257,0.0020832666656001985
Species_Morphology,Narra.height_m,high,36.0,4.4184833333333335,0.012286465001058297
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.419933333333334,0.01105714952216751
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.426966666666667,0.0005201495511441009
Species_Morphology,Talisay.height_m,low,28.0,4.413150000000001,0.01009463553907058
Species_Morphology,Talisay.height_m,high,42.0,4.424666666666667,0.0020417857108150994
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.4254,0.0029464668107183015
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.424916666666667,0.0018517259216443624
Species_Morphology,Banaba.height_m,low,9.0,4.424366666666667,0.0030833783780494103
Species_Morphology,Banaba.height_m,high,18.0,4.42305,0.001626857912254966
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.4275166666666665,0.000619587676514693
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.4251499999999995,0.0031280984639235495
Species_Morphology,Kabiki.height_m,low,9.0,4.428016666666667,0.0002592724864353006
Species_Morphology,Kabiki.height_m,high,18.0,4.427466666666667,0.0010370899457403646
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.422383333333333,0.003287687468250143
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.417966666666667,0.01122210120946857
Species_Morphology,Duhat.height_m,low,14.0,4.4282,0.0
Species_Morphology,Duhat.height_m,high,30.0,4.4282,0.0
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.423633333333334,0.0015781494085022577
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.419366666666666,0.01165399311633389
Species_Morphology,Akleng-parang.height_m,low,18.0,4.4263,0.001493876389353269
Species_Morphology,Akleng-parang.height_m,high,30.0,4.421616666666666,0.008272276322486033
Species_Allometry,Narra.l0,low,0.2125,4.418816666666666,0.008063325754440782
Species_Allometry,Narra.l0,high,0.2875,4.4268833333333335,0.0010085743513606781
Species_Allometry,Narra.l1,low,1.615,4.41685,0.011839763511151622
Species_Allometry,Narra.l1,high,2.1849999999999996,4.425816666666667,0.0023609084880379214
Species_Allometry,Narra.h0,low,43.52,4.412183333333334,0.010266477270980472
Species_Allometry,Narra.h0,high,58.879999999999995,4.427016666666667,0.001673486048808449
Species_Allometry,Narra.h1,low,0.6375,4.419966666666666,0.009121433854146117
Species_Allometry,Narra.h1,high,0.8624999999999999,4.417783333333333,0.010133305921015662
Species_Allometry,Talisay.l0,low,0.17,4.4272833333333335,0.0012963624321756654
Species_Allometry,Talisay.l0,high,0.22999999999999998,4.4278,0.0005656854249491758
Species_Allometry,Talisay.l1,low,1.53,4.418566666666666,0.008557095820948124
Species_Allometry,Talisay.l1,high,2.07,4.421683333333333,0.00791099797047705
Species_Allometry,Talisay.h0,low,40.120000000000005,4.4256,0.0010590876576879625
Species_Allometry,Talisay.h0,high,54.28,4.426733333333334,0.0006599663291073418
Species_Allometry,Talisay.h1,low,0.6034999999999999,4.426433333333333,0.000917726659862178
Species_Allometry,Talisay.h1,high,0.8164999999999999,4.420816666666667,0.010441610135521301
Species_Allometry,Banaba.l0,low,0.17,4.415566666666667,0.01664413476940816
Species_Allometry,Banaba.l0,high,0.22999999999999998,4.422783333333334,0.0033089105289941375
Species_Allometry,Banaba.l1,low,1.53,4.427233333333334,0.00119466406249712
Species_Allometry,Banaba.l1,high,2.07,4.411183333333334,0.012229222742631236
Species_Allometry,Banaba.h0,low,38.93,4.418566666666667,0.011290802549962002
Species_Allometry,Banaba.h0,high,52.669999999999995,4.426816666666667,0.0010679679562401096
Species_Allometry,Banaba.h1,low,0.612,4.427016666666667,0.0006712343521869569
Species_Allometry,Banaba.h1,high,0.828,4.4274,0.000561248608015891
Species_Allometry,Kabiki.l0,low,0.187,4.424716666666668,0.0007586537784495469
Species_Allometry,Kabiki.l0,high,0.253,4.4280333333333335,0.00023570226039580392
Species_Allometry,Kabiki.l1,low,1.5725,4.417033333333333,0.013213019673370772
Species_Allometry,Kabiki.l1,high,2.1275,4.416216666666667,0.014684761565044878
Species_Allometry,Kabiki.h0,low,41.225,4.40935,0.008001978921908955
Species_Allometry,Kabiki.h0,high,55.775,4.426,0.0012890565025114543
Species_Allometry,Kabiki.h1,low,0.6204999999999999,4.42765,0.0007082843120290258
Species_Allometry,Kabiki.h1,high,0.8394999999999999,4.423283333333333,0.003941728329327656
Species_Allometry,Duhat.l0,low,0.153,4.422533333333333,0.005381656085465016
Species_Allometry,Duhat.l0,high,0.207,4.413916666666666,0.009307374614907306
Species_Allometry,Duhat.l1,low,1.4875,4.424449999999999,0.0035569181416878503
Species_Allometry,Duhat.l1,high,2.0124999999999997,4.422116666666667,0.004990045646640635
Species_Allometry,Duhat.h0,low,35.955,4.425966666666667,0.0025486379804822612
Species_Allometry,Duhat.h0,high,48.644999999999996,4.427983333333334,0.0003064129385142939
Species_Allometry,Duhat.h1,low,0.595,4.427316666666667,0.0006637435917246174
Species_Allometry,Duhat.h1,high,0.8049999999999999,4.4186499999999995,0.009665488433942323
Species_Allometry,Akleng-parang.l0,low,0.1275,4.427366666666667,0.0005137011669139888
Species_Allometry,Akleng-parang.l0,high,0.1725,4.426383333333334,0.0023260600928515763
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,4.4139,0.01195038353638353
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,4.4260166666666665,0.002843804181413318
Species_Allometry,Akleng-parang.h0,low,39.185,4.426166666666667,0.0019703355608177895
Species_Allometry,Akleng-parang.h0,high,53.015,4.419250000000001,0.008855600864236347
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,4.426866666666666,0.0005436502143433219
Species_Allometry,Akleng-parang.h1,high,0.782,4.421683333333333,0.003551838334659392
Cooling_Model,decay_lambda,low,1.2,4.427583333333334,0.0008720983634638882
Cooling_Model,decay_lambda,high,2.8,4.42685,0.001568969938101815
Cooling_Model,cca_threshold,low,0.8,4.4265,0.0014531574817160811
Cooling_Model,cca_threshold,high,1.6,4.4254500000000005,0.0025596223679806825
Cooling_Model,competition_k,low,2.5,4.42415,0.003755218591063307
Cooling_Model,competition_k,high,7.5,4.411366666666666,0.012392896710974844
Weighting,shade_weight,low,0.5,4.425816666666667,0.00115782362886394
Weighting,shade_weight,high,0.9,4.424783333333334,0.0030739045022393522
