k,with_secpi,with_mean_secpi,with_std_secpi,with_n_species,with_species,with_cooling_mean,with_coverage,without_secpi,without_mean_secpi,without_std_secpi,without_n_species,without_species,without_cooling_mean,without_coverage,secpi_difference,better_scenario
1,2.993423609443777,2.93540413879425,0.052360684456521325,1,Duhat,0.002656947215999159,4.279999999999999,1.5016,1.5013999999999998,0.0003098386676966452,1,Narra,0.030506568304146792,20.5,1.4918236094437771,WITH
2,3.24985,3.0236112084833935,0.22678179246155591,2,"Kabiki, Narra",0.032696300344617686,24.240000000000002,1.5006,1.5003799999999998,0.00015999999999998792,1,Akleng-parang,0.0646531719856314,38.71,1.74925,WITH
3,3.0000999999999998,2.8072600000000003,0.16807576089371123,2,"Akleng-parang, Narra",0.08915708610917979,49.02,1.5002,1.5001000000000002,8.944271909998174e-05,2,"Akleng-parang, Narra",0.11190932839509701,61.660000000000004,1.4998999999999998,WITH
4,2.9493,2.78808,0.11950065104425152,3,"Akleng-parang, Banaba, Narra",0.09553973011459031,60.440000000000005,1.5001,1.5000399999999998,4.898979485565816e-05,2,"Akleng-parang, Narra",0.11821870041827444,43.89,1.4492,WITH
5,2.91195,2.68485,0.13216081113552539,3,"Kabiki, Akleng-parang, Narra",0.06955739383639148,34.77,1.5001,1.50002,3.999999999999559e-05,2,"Banaba, Narra",0.12849515355960708,48.99,1.41185,WITH
