parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.031633333333333,4.474799999999999,1.443166666666666,0.4780201277443785
Banaba.crown_diameter_m,Species_Morphology,4.474333333333334,4.472333333333333,0.002000000000000668,0.0006624600453787343
Akleng-parang.l0,Species_Allometry,4.473266666666667,4.474799999999999,0.0015333333333318322,0.0005078860347896961
Akleng-parang.crown_diameter_m,Species_Morphology,4.473583333333334,4.474966666666666,0.0013833333333321818,0.00045820153138642346
Talisay.crown_diameter_m,Species_Morphology,4.475033333333333,4.473716666666667,0.0013166666666659665,0.0004361195298739559
Duhat.h0,Species_Allometry,4.474733333333333,4.473466666666667,0.001266666666666083,0.00041955802873953164
Talisay.h1,Species_Allometry,4.4751,4.4738999999999995,0.001200000000000756,0.0003974760272273583
Duhat.crown_diameter_m,Species_Morphology,4.473883333333333,4.475016666666667,0.0011333333333336526,0.0003753940257145965
Talisay.l1,Species_Allometry,4.472650000000001,4.47365,0.0009999999999994458,0.00033123002268907296
Kabiki.l1,Species_Allometry,4.474216666666667,4.473566666666667,0.0006500000000002615,0.00021529951474810337
Akleng-parang.l1,Species_Allometry,4.474,4.474633333333333,0.0006333333333330415,0.00020977901436976582
Talisay.h0,Species_Allometry,4.47515,4.4745333333333335,0.0006166666666667098,0.0002042585139917225
Banaba.height_m,Species_Morphology,4.474366666666667,4.474983333333333,0.0006166666666667098,0.0002042585139917225
Akleng-parang.height_m,Species_Morphology,4.4752,4.4747666666666674,0.0004333333333326195,0.0001435330098317747
decay_lambda,Cooling_Model,4.4742500000000005,4.47465,0.00039999999999906777,0.00013249200907539384
Narra.l1,Species_Allometry,4.474633333333333,4.475016666666666,0.000383333333332736,0.0001269715086973505
Narra.l0,Species_Allometry,4.474683333333333,4.4750000000000005,0.00031666666666740895,0.00010488950718517711
Banaba.l1,Species_Allometry,4.4744166666666665,4.474733333333333,0.00031666666666652077,0.00010488950718488291
Banaba.h0,Species_Allometry,4.475133333333333,4.474833333333333,0.000300000000000189,9.936900680683957e-05
Kabiki.l0,Species_Allometry,4.475116666666667,4.474866666666666,0.00025000000000030553,8.280750567241534e-05
Duhat.l1,Species_Allometry,4.474966666666667,4.4752,0.0002333333333330856,7.72870052940778e-05
Duhat.height_m,Species_Morphology,4.475,4.474799999999999,0.00020000000000042206,6.62460045379911e-05
Banaba.l0,Species_Allometry,4.474783333333334,4.474983333333333,0.00019999999999953388,6.624600453769692e-05
Narra.height_m,Species_Morphology,4.4752,4.475016666666668,0.00018333333333231394,6.072550415935938e-05
competition_k,Cooling_Model,4.474616666666667,4.474799999999999,0.00018333333333231394,6.072550415935938e-05
Duhat.l0,Species_Allometry,4.474383333333333,4.4745333333333335,0.0001500000000005386,4.968450340356688e-05
Kabiki.height_m,Species_Morphology,4.4745,4.4746500000000005,0.0001500000000005386,4.968450340356688e-05
Akleng-parang.h1,Species_Allometry,4.4750000000000005,4.47515,0.0001499999999996504,4.968450340327269e-05
Kabiki.crown_diameter_m,Species_Morphology,4.474483333333333,4.4743666666666675,0.00011666666666521053,3.864350264659761e-05
Banaba.h1,Species_Allometry,4.474799999999999,4.474900000000001,0.0001000000000015433,3.3123002269436844e-05
Kabiki.h1,Species_Allometry,4.475183333333334,4.475083333333333,0.00010000000000065512,3.312300226914265e-05
Talisay.l0,Species_Allometry,4.474900000000001,4.4750000000000005,9.999999999976694e-05,3.312300226884846e-05
cca_threshold,Cooling_Model,4.4750000000000005,4.474933333333333,6.666666666710341e-05,2.2082001512761768e-05
Kabiki.h0,Species_Allometry,4.47485,4.474916666666666,6.666666666621524e-05,2.2082001512467577e-05
Akleng-parang.h0,Species_Allometry,4.475183333333334,4.475133333333333,5.000000000077165e-05,1.6561501134718422e-05
Narra.h0,Species_Allometry,4.474749999999999,4.474799999999999,4.999999999988347e-05,1.656150113442423e-05
Narra.h1,Species_Allometry,4.4751666666666665,4.4752,3.333333333355171e-05,1.1041000756380884e-05
Talisay.height_m,Species_Morphology,4.474466666666667,4.474483333333333,1.6666666665443586e-05,5.520500377749155e-06
Duhat.h1,Species_Allometry,4.4750000000000005,4.4750000000000005,0.0,0.0
shade_weight,Weighting,4.4752,4.4752,0.0,0.0
