category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.144433333333333,0.05538134964849522
Species_Morphology,Narra.crown_diameter_m,low,12.0,2.9022833333333335,0.1500019462836696
Species_Morphology,Narra.crown_diameter_m,high,34.0,3.9580333333333333,0.03154822587017473
Species_Morphology,Narra.height_m,low,24.0,3.9937833333333335,0.045810048630792514
Species_Morphology,Narra.height_m,high,36.0,3.9548833333333335,0.028213511341593334
Species_Morphology,Talisay.crown_diameter_m,low,9.0,3.9639666666666664,0.03176135842322981
Species_Morphology,Talisay.crown_diameter_m,high,15.0,3.9224833333333335,0.02912313894864771
Species_Morphology,Talisay.height_m,low,28.0,3.98035,0.03445187464662373
Species_Morphology,Talisay.height_m,high,42.0,3.9679500000000005,0.023501312020112162
Species_Morphology,Banaba.crown_diameter_m,low,10.0,3.9447833333333335,0.025812604586820782
Species_Morphology,Banaba.crown_diameter_m,high,12.0,3.9753666666666665,0.04207432576867846
Species_Morphology,Banaba.height_m,low,9.0,4.0066,0.013964956140282148
Species_Morphology,Banaba.height_m,high,18.0,3.970216666666667,0.033688779866431644
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.0205,0.00851205028180605
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,3.9452166666666666,0.01889992651367256
Species_Morphology,Kabiki.height_m,low,9.0,3.941233333333333,0.05745366732323437
Species_Morphology,Kabiki.height_m,high,18.0,4.00055,0.030936090035210907
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.019183333333333,0.0122277235093956
Species_Morphology,Duhat.crown_diameter_m,high,11.0,3.9544833333333336,0.04052098907425085
Species_Morphology,Duhat.height_m,low,14.0,3.9871166666666666,0.032178987277759766
Species_Morphology,Duhat.height_m,high,30.0,4.004316666666667,0.042896820654009175
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,3.97035,0.010573630723013962
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.017566666666666,0.02151094036892771
Species_Morphology,Akleng-parang.height_m,low,18.0,3.961,0.02448890905423622
Species_Morphology,Akleng-parang.height_m,high,30.0,3.9484833333333333,0.07313221284465254
Species_Allometry,Narra.l0,low,0.2125,3.9873333333333334,0.01684643054840458
Species_Allometry,Narra.l0,high,0.2875,3.9960500000000003,0.006440626263545249
Species_Allometry,Narra.l1,low,1.615,4.023316666666667,0.004004233870403892
Species_Allometry,Narra.l1,high,2.1849999999999996,4.000916666666667,0.049794332564615996
Species_Allometry,Narra.h0,low,43.52,3.9694833333333333,0.0185189242548145
Species_Allometry,Narra.h0,high,58.879999999999995,3.9950500000000004,0.04262857023171188
Species_Allometry,Narra.h1,low,0.6375,3.9899500000000003,0.027095786880374447
Species_Allometry,Narra.h1,high,0.8624999999999999,3.9452999999999996,0.05977877270960535
Species_Allometry,Talisay.l0,low,0.17,3.970383333333333,0.056469834621877955
Species_Allometry,Talisay.l0,high,0.22999999999999998,3.9570666666666665,0.03766696902533512
Species_Allometry,Talisay.l1,low,1.53,3.98755,0.024962204763735472
Species_Allometry,Talisay.l1,high,2.07,3.973316666666667,0.04505020039417753
Species_Allometry,Talisay.h0,low,40.120000000000005,4.027450000000001,0.020898843668171498
Species_Allometry,Talisay.h0,high,54.28,3.9573,0.043083194712865404
Species_Allometry,Talisay.h1,low,0.6034999999999999,3.9895666666666667,0.013908410724769527
Species_Allometry,Talisay.h1,high,0.8164999999999999,3.958016666666667,0.009675513193394847
Species_Allometry,Banaba.l0,low,0.17,3.9922,0.028401965894400163
Species_Allometry,Banaba.l0,high,0.22999999999999998,3.9731500000000004,0.018820511859847823
Species_Allometry,Banaba.l1,low,1.53,3.9743833333333334,0.04068788380942026
Species_Allometry,Banaba.l1,high,2.07,4.0327166666666665,0.02566506488508354
Species_Allometry,Banaba.h0,low,38.93,3.953416666666667,0.05311943042699982
Species_Allometry,Banaba.h0,high,52.669999999999995,3.955433333333333,0.01666159922963232
Species_Allometry,Banaba.h1,low,0.612,3.9812833333333324,0.04426368589361821
Species_Allometry,Banaba.h1,high,0.828,4.038083333333334,0.006628767272695142
Species_Allometry,Kabiki.l0,low,0.187,3.969616666666667,0.03825202245924056
Species_Allometry,Kabiki.l0,high,0.253,3.9762,0.013299686713102311
Species_Allometry,Kabiki.l1,low,1.5725,4.008416666666666,0.03886588764227892
Species_Allometry,Kabiki.l1,high,2.1275,3.9944333333333333,0.022163270416514565
Species_Allometry,Kabiki.h0,low,41.225,4.0225333333333335,0.008104765402046845
Species_Allometry,Kabiki.h0,high,55.775,3.9956833333333335,0.03947086126358121
Species_Allometry,Kabiki.h1,low,0.6204999999999999,3.9897000000000005,0.038325600669352484
Species_Allometry,Kabiki.h1,high,0.8394999999999999,3.930766666666667,0.023638116582239584
Species_Allometry,Duhat.l0,low,0.153,4.010533333333334,0.023718007692234422
Species_Allometry,Duhat.l0,high,0.207,4.018716666666666,0.010966793312338642
Species_Allometry,Duhat.l1,low,1.4875,3.9705833333333334,0.02015499662339051
Species_Allometry,Duhat.l1,high,2.0124999999999997,3.995266666666667,0.03570532951193085
Species_Allometry,Duhat.h0,low,35.955,3.9956333333333336,0.023124169654762522
Species_Allometry,Duhat.h0,high,48.644999999999996,3.9616166666666666,0.03467468657232374
Species_Allometry,Duhat.h1,low,0.595,3.9645999999999995,0.02389145593442685
Species_Allometry,Duhat.h1,high,0.8049999999999999,4.026783333333333,0.0044721980675675125
Species_Allometry,Akleng-parang.l0,low,0.1275,3.987766666666667,0.014658861559555883
Species_Allometry,Akleng-parang.l0,high,0.1725,4.005283333333334,0.02791285048543472
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,4.018016666666667,0.008217089238626515
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,3.98775,0.04347391938469185
Species_Allometry,Akleng-parang.h0,low,39.185,3.9673,0.04523776077570607
Species_Allometry,Akleng-parang.h0,high,53.015,3.9553166666666666,0.020593580445263944
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,3.9599999999999995,0.024138800025408642
Species_Allometry,Akleng-parang.h1,high,0.782,3.9631833333333333,0.05844429446537556
Cooling_Model,decay_lambda,low,1.2,4.013983333333333,0.0297525722510772
