k,with_secpi,with_mean_secpi,with_std_secpi,with_n_species,with_species,with_cooling_mean,with_coverage,without_secpi,without_mean_secpi,without_std_secpi,without_n_species,without_species,without_cooling_mean,without_coverage,secpi_difference,better_scenario
1,3.199233466773419,3.1810545925143474,0.012539615199551601,1,Duhat,0.002656948219201165,4.279999999999999,1.5018000000000002,1.50116,0.0004923413450037062,1,Narra,0.050689423604933406,35.510000000000005,1.6974334667734188,WITH
2,3.2023,3.12529,0.08475165721093607,2,"Narra, Akleng-parang",0.041796575460529076,20.49,1.5011,1.50054,0.00034985711369078104,2,"Narra, Duhat",0.05115998498066638,33.800000000000004,1.7012,WITH
3,3.1618999999999997,3.0903213205282114,0.08709028158176312,1,Narra,0.13305653748351387,60.6,1.5002,1.50008,7.483314773547058e-05,3,"Narra, Banaba, Talisay",0.02499918062313188,20.560000000000002,1.6616999999999997,WITH
4,3.1275,3.09542,0.01940400989486448,2,"Narra, Talisay",0.0833159071373966,42.22,1.5,1.5,0.0,1,Narra,0.10256601160811563,53.779999999999994,1.6275,WITH
5,3.0734,2.99383,0.07091033493081234,2,"Narra, Akleng-parang",0.177743717473851,71.07,1.5001,1.50002,3.999999999999559e-05,2,"Narra, Akleng-parang",0.1996909140039024,70.1,1.5733,WITH
