parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.9325999999999994,3.8618,0.9292000000000007,0.3089831908089806
Duhat.crown_diameter_m,Species_Morphology,3.420583333333333,4.311883333333333,0.8913000000000002,0.2963804541197205
Banaba.height_m,Species_Morphology,4.298566666666666,3.8064666666666667,0.4920999999999993,0.16363606133996883
Kabiki.crown_diameter_m,Species_Morphology,4.287683333333334,3.8301999999999996,0.45748333333333413,0.15212511846239987
Duhat.height_m,Species_Morphology,3.8830499999999994,4.313266666666666,0.4302166666666669,0.14305824193485822
Talisay.crown_diameter_m,Species_Morphology,3.4302166666666665,3.8513,0.4210833333333337,0.14002117082416587
cca_threshold,Cooling_Model,2.90685,3.0472,0.1403500000000002,0.046670028874344016
decay_lambda,Cooling_Model,3.0696166666666667,2.988,0.08161666666666667,0.02713966647638788
shade_weight,Weighting,2.96595,3.0409333333333333,0.0749833333333334,0.02493391045073906
Talisay.l1,Species_Allometry,3.0379387275240606,2.9700820959103247,0.0678566316137359,0.02256409659229622
Akleng-parang.crown_diameter_m,Species_Morphology,3.8875333333333337,3.8219499999999997,0.06558333333333399,0.021808165730975573
Duhat.l1,Species_Allometry,3.0355916583152034,2.979389606015724,0.05620205229947928,0.018688645554785086
Narra.l1,Species_Allometry,3.0531853682502095,2.997409609248937,0.05577575900127263,0.018546891935004226
Akleng-parang.h1,Species_Allometry,2.9962197826734385,3.0498998247167113,0.05368004204327281,0.01785001148653751
Banaba.crown_diameter_m,Species_Morphology,3.8567666666666667,3.904716666666667,0.04795000000000016,0.01594462333113502
Duhat.h0,Species_Allometry,3.018221837706024,2.97842238574451,0.039799451961514354,0.013234353916828926
Banaba.h1,Species_Allometry,3.0302857055519765,2.9911349612849825,0.03915074426699405,0.013018641719933511
Banaba.h0,Species_Allometry,3.02587544538614,2.987860491909741,0.03801495347639916,0.01264096171286349
Banaba.l1,Species_Allometry,3.0145876300783594,2.9791199819531795,0.035467648125179885,0.01179391636699121
Kabiki.l0,Species_Allometry,3.008731205616994,3.039506387144329,0.030775181527334716,0.010233549059450573
Kabiki.h1,Species_Allometry,3.03272849694279,3.011967596110967,0.020760900831823026,0.006903540016234927
Banaba.l0,Species_Allometry,3.002110983658795,2.982413757552281,0.01969722610651381,0.0065498404783432915
competition_k,Cooling_Model,3.0111666666666665,2.9932,0.017966666666666686,0.0059743844111795315
Akleng-parang.height_m,Species_Morphology,3.883233333333333,3.86585,0.017383333333333084,0.005780410891335951
Talisay.h1,Species_Allometry,3.0154991289722672,3.032538686701255,0.01703955772898791,0.00566609655303111
Narra.height_m,Species_Morphology,4.2854,4.3024,0.01699999999999946,0.0056529425782958454
Akleng-parang.l1,Species_Allometry,3.0185531822101357,3.0326275314135778,0.014074349203442083,0.004680087521996735
Kabiki.h0,Species_Allometry,3.017343915862842,3.003946733383149,0.013397182479693015,0.004454911956979893
Kabiki.height_m,Species_Morphology,3.845366666666667,3.8331000000000004,0.012266666666666648,0.004078986017280263
Akleng-parang.l0,Species_Allometry,3.0248429336208003,3.0364509801783925,0.011608046557592289,0.00385997768448565
Talisay.height_m,Species_Morphology,4.306766666666666,4.297366666666667,0.009399999999999409,0.003125744719763488
Kabiki.l1,Species_Allometry,3.026007016443066,3.0347855293825816,0.008778512939515704,0.0029190840923477013
Narra.l0,Species_Allometry,2.984268166175052,2.9904137388803753,0.006145572705323232,0.0020435629184667996
Talisay.l0,Species_Allometry,3.001315522436592,3.00641848995145,0.005102967514857948,0.0016968695494354088
Narra.h0,Species_Allometry,3.022809663830737,3.018344497183307,0.004465166647430241,0.0014847841564968073
Talisay.h0,Species_Allometry,3.0095278188364385,3.012692620015663,0.0031648011792246855,0.0010523787845812173
Duhat.l0,Species_Allometry,3.0179215623163054,3.0160644174682183,0.0018571448480870778,0.0006175490109302674
Duhat.h1,Species_Allometry,2.9950380778170342,2.99674873584734,0.0017106580303059005,0.000568838330377661
Akleng-parang.h0,Species_Allometry,2.9935338088820225,2.9921920850193318,0.0013417238626907135,0.00044615811480706733
Narra.h1,Species_Allometry,2.980401463099915,2.98061998284596,0.00021851974604514268,7.266350450688362e-05
