parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.0109,4.188016666666667,1.177116666666667,0.3884681176399409
Narra.height_m,Species_Morphology,4.192183333333333,4.166333333333333,0.02585000000000015,0.008530930812006055
Talisay.h0,Species_Allometry,4.20085,4.17635,0.024499999999999744,0.008085408313119727
Narra.l0,Species_Allometry,4.172933333333333,4.195533333333333,0.02259999999999973,0.0074583766480206355
Kabiki.h0,Species_Allometry,4.180416666666666,4.202766666666666,0.022350000000000314,0.007375872481560421
Talisay.height_m,Species_Morphology,4.190600000000001,4.170566666666667,0.020033333333334014,0.006611333872360778
Duhat.l1,Species_Allometry,4.179983333333333,4.1998,0.01981666666666637,0.006539830261428104
Akleng-parang.height_m,Species_Morphology,4.197983333333333,4.179733333333334,0.01824999999999921,0.006022804151609396
Duhat.height_m,Species_Morphology,4.1945,4.177416666666667,0.017083333333332895,0.005637784708127615
Akleng-parang.h1,Species_Allometry,4.187866666666667,4.1714166666666666,0.016450000000000742,0.005428774153094976
shade_weight,Weighting,4.191933333333333,4.176750000000001,0.015183333333331994,0.00501075304302823
Talisay.crown_diameter_m,Species_Morphology,4.191949999999999,4.177683333333333,0.014266666666665984,0.004708237766006957
Kabiki.l1,Species_Allometry,4.189516666666667,4.201516666666667,0.011999999999999567,0.003960199990099357
Narra.h0,Species_Allometry,4.189649999999999,4.177766666666667,0.01188333333333258,0.003921698045751061
Duhat.l0,Species_Allometry,4.183416666666666,4.1952,0.011783333333333701,0.003888696379167269
Talisay.h1,Species_Allometry,4.192616666666667,4.182016666666667,0.010600000000000165,0.003498176657921279
Akleng-parang.crown_diameter_m,Species_Morphology,4.187083333333334,4.177266666666667,0.009816666666666585,0.0032396636030119245
cca_threshold,Cooling_Model,4.197116666666666,4.18785,0.00926666666666609,0.003058154436798868
Banaba.h1,Species_Allometry,4.184633333333333,4.192483333333333,0.007849999999999469,0.0025906308268565806
Narra.h1,Species_Allometry,4.186266666666667,4.194,0.00773333333333337,0.0025521288825085782
Akleng-parang.h0,Species_Allometry,4.182533333333334,4.190233333333333,0.00769999999999893,0.0025411283269801592
Kabiki.l0,Species_Allometry,4.185033333333333,4.192699999999999,0.007666666666666266,0.002530127771452326
Talisay.l0,Species_Allometry,4.198616666666666,4.191516666666666,0.007100000000000328,0.0023431183274756455
Duhat.h1,Species_Allometry,4.190566666666666,4.184466666666666,0.006099999999999994,0.00201310166163391
Banaba.l0,Species_Allometry,4.1876,4.181583333333333,0.006016666666666559,0.0019856002728137413
Banaba.height_m,Species_Morphology,4.194466666666667,4.188533333333333,0.005933333333334012,0.0019580988839938657
Akleng-parang.l1,Species_Allometry,4.181966666666667,4.187783333333333,0.005816666666666137,0.0019195969396452771
Kabiki.crown_diameter_m,Species_Morphology,4.1922500000000005,4.187399999999999,0.004850000000001131,0.0016005808293322544
competition_k,Cooling_Model,4.19045,4.185783333333333,0.004666666666667041,0.0015400777739277066
Kabiki.h1,Species_Allometry,4.183066666666666,4.178766666666667,0.00429999999999886,0.0014190716631186113
Banaba.l1,Species_Allometry,4.197116666666667,4.2014,0.0042833333333325285,0.0014135713853546947
decay_lambda,Cooling_Model,4.174366666666667,4.17855,0.00418333333333365,0.0013805697187709023
Duhat.h0,Species_Allometry,4.180183333333334,4.184166666666667,0.003983333333333228,0.0013145663856024379
Narra.l1,Species_Allometry,4.190433333333334,4.186883333333333,0.0035500000000006082,0.0011715591637379693
Banaba.h0,Species_Allometry,4.181533333333333,4.17825,0.0032833333333330827,0.0010835547195132526
Banaba.crown_diameter_m,Species_Morphology,4.18525,4.18635,0.001100000000000101,0.00036301833242582076
Kabiki.height_m,Species_Morphology,4.185466666666667,4.1844833333333336,0.000983333333333114,0.0003245163880775255
Talisay.l1,Species_Allometry,4.189516666666666,4.188833333333333,0.000683333333332925,0.00022551138832497563
Duhat.crown_diameter_m,Species_Morphology,4.1748666666666665,4.174416666666667,0.0004499999999998394,0.00014850749962867823
Akleng-parang.l0,Species_Allometry,4.1934499999999995,4.19335,9.999999999976694e-05,3.300166658408558e-05
