category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.0301500000000003,0.030307012389874474
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.0109,0.037610526008906894
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.188016666666667,0.01573405718673841
Species_Morphology,Narra.height_m,low,24.0,4.192183333333333,0.012040371902709606
Species_Morphology,Narra.height_m,high,36.0,4.166333333333333,0.02060284500311077
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.191949999999999,0.00954393350074639
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.177683333333333,0.02094836243931442
Species_Morphology,Talisay.height_m,low,28.0,4.190600000000001,0.00807867563403799
Species_Morphology,Talisay.height_m,high,42.0,4.170566666666667,0.016092976383779246
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.18525,0.009538693132010294
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.18635,0.018989777952010567
Species_Morphology,Banaba.height_m,low,9.0,4.194466666666667,0.0018530755216367265
Species_Morphology,Banaba.height_m,high,18.0,4.188533333333333,0.016509054754555
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.1922500000000005,0.003715732319028067
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.187399999999999,0.007098004414387657
Species_Morphology,Kabiki.height_m,low,9.0,4.185466666666667,0.012793314226145566
Species_Morphology,Kabiki.height_m,high,18.0,4.1844833333333336,0.009986769024842485
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.1748666666666665,0.007000277772266568
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.174416666666667,0.018092094651777902
Species_Morphology,Duhat.height_m,low,14.0,4.1945,0.008798579430795012
Species_Morphology,Duhat.height_m,high,30.0,4.177416666666667,0.013179171277267494
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.187083333333334,0.015064822896034686
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.177266666666667,0.01588397165558889
Species_Morphology,Akleng-parang.height_m,low,18.0,4.197983333333333,0.011528033464366687
Species_Morphology,Akleng-parang.height_m,high,30.0,4.179733333333334,0.023176185094953547
Species_Allometry,Narra.l0,low,0.2125,4.172933333333333,0.011371333352875915
Species_Allometry,Narra.l0,high,0.2875,4.195533333333333,0.02094506040945141
