morphology,n_runs,mean_secpi,std_secpi,min_secpi,max_secpi,mean_plantable
organic,1,0.7504,0.0,0.7504,0.7504,20.0
linear,2,1.132225,0.38192500000000007,0.7503,1.51415,13.5
dispersed,1,0.7501500000000001,0.0,0.7501500000000001,0.7501500000000001,20.0
