category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.0936392714171337,0.0
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.0936392714171337,0.0
Species_Morphology,Narra.crown_diameter_m,high,34.0,3.124,4.440892098500626e-16
Species_Morphology,Narra.height_m,low,24.0,3.124,4.440892098500626e-16
Species_Morphology,Narra.height_m,high,36.0,3.124,4.440892098500626e-16
Species_Morphology,Talisay.crown_diameter_m,low,9.0,3.124,4.440892098500626e-16
Species_Morphology,Talisay.crown_diameter_m,high,15.0,3.124,4.440892098500626e-16
Species_Morphology,Talisay.height_m,low,28.0,3.124,4.440892098500626e-16
Species_Morphology,Talisay.height_m,high,42.0,3.124,4.440892098500626e-16
Species_Morphology,Banaba.crown_diameter_m,low,10.0,3.124,4.440892098500626e-16
Species_Morphology,Banaba.crown_diameter_m,high,12.0,3.124,4.440892098500626e-16
Species_Morphology,Banaba.height_m,low,9.0,3.124,4.440892098500626e-16
Species_Morphology,Banaba.height_m,high,18.0,3.124,4.440892098500626e-16
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,3.124,4.440892098500626e-16
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,3.124,4.440892098500626e-16
Species_Morphology,Kabiki.height_m,low,9.0,3.124,4.440892098500626e-16
Species_Morphology,Kabiki.height_m,high,18.0,3.124,4.440892098500626e-16
Species_Morphology,Duhat.crown_diameter_m,low,8.0,3.124,4.440892098500626e-16
Species_Morphology,Duhat.crown_diameter_m,high,11.0,3.124,4.440892098500626e-16
Species_Morphology,Duhat.height_m,low,14.0,3.124,4.440892098500626e-16
Species_Morphology,Duhat.height_m,high,30.0,3.124,4.440892098500626e-16
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,3.124,4.440892098500626e-16
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,3.124,4.440892098500626e-16
Species_Morphology,Akleng-parang.height_m,low,18.0,3.124,4.440892098500626e-16
Species_Morphology,Akleng-parang.height_m,high,30.0,3.124,4.440892098500626e-16
Species_Allometry,Narra.l0,low,0.2125,3.124,4.440892098500626e-16
Species_Allometry,Narra.l0,high,0.2875,3.124,4.440892098500626e-16
Species_Allometry,Narra.l1,low,1.615,3.124,4.440892098500626e-16
Species_Allometry,Narra.l1,high,2.1849999999999996,3.124,4.440892098500626e-16
Species_Allometry,Narra.h0,low,43.52,3.124,4.440892098500626e-16
Species_Allometry,Narra.h0,high,58.879999999999995,3.124,4.440892098500626e-16
Species_Allometry,Narra.h1,low,0.6375,3.124,4.440892098500626e-16
Species_Allometry,Narra.h1,high,0.8624999999999999,3.124,4.440892098500626e-16
Species_Allometry,Talisay.l0,low,0.17,3.124,4.440892098500626e-16
Species_Allometry,Talisay.l0,high,0.22999999999999998,3.124,4.440892098500626e-16
Species_Allometry,Talisay.l1,low,1.53,3.124,4.440892098500626e-16
Species_Allometry,Talisay.l1,high,2.07,3.124,4.440892098500626e-16
Species_Allometry,Talisay.h0,low,40.120000000000005,3.124,4.440892098500626e-16
Species_Allometry,Talisay.h0,high,54.28,3.124,4.440892098500626e-16
Species_Allometry,Talisay.h1,low,0.6034999999999999,3.124,4.440892098500626e-16
Species_Allometry,Talisay.h1,high,0.8164999999999999,3.124,4.440892098500626e-16
Species_Allometry,Banaba.l0,low,0.17,3.124,4.440892098500626e-16
Species_Allometry,Banaba.l0,high,0.22999999999999998,3.124,4.440892098500626e-16
Species_Allometry,Banaba.l1,low,1.53,3.124,4.440892098500626e-16
Species_Allometry,Banaba.l1,high,2.07,3.124,4.440892098500626e-16
Species_Allometry,Banaba.h0,low,38.93,3.124,4.440892098500626e-16
Species_Allometry,Banaba.h0,high,52.669999999999995,3.124,4.440892098500626e-16
