parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.1195833333333334,4.347316666666667,1.2277333333333336,0.3950468978757864
Akleng-parang.l1,Species_Allometry,4.340266666666666,4.353683333333334,0.013416666666667965,0.004317071470325244
Talisay.crown_diameter_m,Species_Morphology,4.34235,4.355049999999999,0.012699999999999712,0.0040864701371272575
Banaba.h0,Species_Allometry,4.342183333333334,4.354566666666667,0.01238333333333319,0.003984576524784234
Duhat.l1,Species_Allometry,4.35625,4.344716666666667,0.011533333333333395,0.0037110726179686903
Akleng-parang.crown_diameter_m,Species_Morphology,4.342533333333334,4.352049999999999,0.009516666666665508,0.0030621711919940064
Banaba.l1,Species_Allometry,4.35575,4.3468333333333335,0.008916666666666018,0.0028691096107125637
Narra.height_m,Species_Morphology,4.351783333333333,4.3431,0.008683333333332932,0.002794030106880907
Duhat.crown_diameter_m,Species_Morphology,4.343216666666667,4.3514333333333335,0.008216666666666761,0.0026438710992175945
Talisay.h1,Species_Allometry,4.35345,4.347066666666667,0.006383333333332963,0.00205396071196809
Talisay.l0,Species_Allometry,4.347333333333334,4.3533,0.0059666666666657875,0.0019198901694112546
competition_k,Cooling_Model,4.3430333333333335,4.3488999999999995,0.0058666666666660205,0.0018877132391977283
Duhat.h1,Species_Allometry,4.3492999999999995,4.35405,0.004750000000000476,0.0015284041851462095
Talisay.height_m,Species_Morphology,4.348933333333334,4.353649999999999,0.004716666666665148,0.001517678541741034
Talisay.h0,Species_Allometry,4.355766666666667,4.351400000000001,0.004366666666665964,0.0014050592859936922
Kabiki.l1,Species_Allometry,4.346216666666667,4.350533333333334,0.004316666666666968,0.001388970820887215
Kabiki.h0,Species_Allometry,4.35105,4.355333333333333,0.004283333333333417,0.001378245177482611
Kabiki.height_m,Species_Morphology,4.342016666666667,4.345716666666667,0.0037000000000002586,0.0011905464179033272
Banaba.height_m,Species_Morphology,4.346100000000001,4.3424499999999995,0.0036500000000012633,0.0011744579527968497
Narra.h1,Species_Allometry,4.349483333333333,4.346116666666666,0.003366666666666518,0.0010832899838578588
Narra.l1,Species_Allometry,4.354299999999999,4.351016666666666,0.0032833333333330827,0.0010564758753464916
Banaba.l0,Species_Allometry,4.354266666666667,4.351083333333333,0.003183333333333316,0.0010242989451329655
Narra.h0,Species_Allometry,4.351633333333333,4.354783333333334,0.0031500000000006523,0.0010135733017286473
Duhat.height_m,Species_Morphology,4.3452,4.3478666666666665,0.002666666666666373,0.0008580514723626038
Banaba.crown_diameter_m,Species_Morphology,4.350433333333332,4.3529,0.0024666666666677273,0.0007936976119358372
Akleng-parang.l0,Species_Allometry,4.3513,4.3537333333333335,0.0024333333333332874,0.0007829719685309474
Akleng-parang.height_m,Species_Morphology,4.352250000000001,4.3502,0.0020500000000005514,0.0006596270693790018
shade_weight,Weighting,4.35205,4.350083333333333,0.001966666666667116,0.0006328129608676347
Kabiki.crown_diameter_m,Species_Morphology,4.349333333333333,4.347533333333333,0.0018000000000002458,0.0005791847438449004
Kabiki.h1,Species_Allometry,4.3472,4.348916666666667,0.0017166666666668107,0.0005523706353335333
Duhat.h0,Species_Allometry,4.349616666666666,4.351016666666666,0.00140000000000029,0.0004504770229905099
decay_lambda,Cooling_Model,4.351483333333333,4.3503,0.001183333333333536,0.0003807603408610126
Talisay.l1,Species_Allometry,4.351249999999999,4.35035,0.0008999999999996788,0.0002895923719223073
Akleng-parang.h0,Species_Allometry,4.34825,4.348883333333333,0.0006333333333330415,0.00020378722468604695
Kabiki.l0,Species_Allometry,4.352433333333333,4.352983333333333,0.0005500000000004945,0.00017697311617496564
Narra.l0,Species_Allometry,4.352983333333333,4.352433333333334,0.0005499999999996064,0.00017697311617467985
cca_threshold,Cooling_Model,4.351116666666667,4.35165,0.0005333333333332746,0.00017161029447252077
Banaba.h1,Species_Allometry,4.349983333333333,4.35025,0.0002666666666666373,8.580514723626038e-05
Duhat.l0,Species_Allometry,4.3513166666666665,4.351566666666667,0.00025000000000030553,8.044232553410128e-05
Akleng-parang.h1,Species_Allometry,4.351583333333333,4.351500000000001,8.3333333332547e-05,2.6814108511081303e-05
