category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.107816666666667,0.016065508256994616
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.1195833333333334,0.01698334151128359
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.347316666666667,0.001662494778604702
Species_Morphology,Narra.height_m,low,24.0,4.351783333333333,0.0011848581724788142
Species_Morphology,Narra.height_m,high,36.0,4.3431,0.004777028364998578
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.34235,0.002940238085597871
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.355049999999999,0.001181101181102027
Species_Morphology,Talisay.height_m,low,28.0,4.348933333333334,0.00515450180802087
Species_Morphology,Talisay.height_m,high,42.0,4.353649999999999,0.002496330640493584
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.350433333333332,0.004202049764367595
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.3529,0.0014668560483793623
Species_Morphology,Banaba.height_m,low,9.0,4.346100000000001,0.005727710420985792
Species_Morphology,Banaba.height_m,high,18.0,4.3424499999999995,0.0011379806676739496
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.349333333333333,0.005503685633787347
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.347533333333333,0.0026637484032012264
Species_Morphology,Kabiki.height_m,low,9.0,4.342016666666667,0.0027977173235018793
Species_Morphology,Kabiki.height_m,high,18.0,4.345716666666667,0.0032561053764000054
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.343216666666667,0.006727720432822842
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.3514333333333335,0.0049598947121438615
Species_Morphology,Duhat.height_m,low,14.0,4.3452,0.0020510160083885127
Species_Morphology,Duhat.height_m,high,30.0,4.3478666666666665,0.0014337208778407446
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.342533333333334,0.003001203462316637
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.352049999999999,0.003704276807511394
Species_Morphology,Akleng-parang.height_m,low,18.0,4.352250000000001,0.0030889588321418343
Species_Morphology,Akleng-parang.height_m,high,30.0,4.3502,0.005516037224917031
Species_Allometry,Narra.l0,low,0.2125,4.352983333333333,0.004231298723664748
Species_Allometry,Narra.l0,high,0.2875,4.352433333333334,0.0019758261282027258
Species_Allometry,Narra.l1,low,1.615,4.354299999999999,0.0013680886910821548
Species_Allometry,Narra.l1,high,2.1849999999999996,4.351016666666666,0.0028110891523076293
Species_Allometry,Narra.h0,low,43.52,4.351633333333333,0.0020673386004446868
Species_Allometry,Narra.h0,high,58.879999999999995,4.354783333333334,0.0015718001003802737
Species_Allometry,Narra.h1,low,0.6375,4.349483333333333,0.0009104333522496409
Species_Allometry,Narra.h1,high,0.8624999999999999,4.346116666666666,0.0048898420787951225
Species_Allometry,Talisay.l0,low,0.17,4.347333333333334,0.004455396228794605
Species_Allometry,Talisay.l0,high,0.22999999999999998,4.3533,0.0012416387021462105
Species_Allometry,Talisay.l1,low,1.53,4.351249999999999,0.004951935648477783
Species_Allometry,Talisay.l1,high,2.07,4.35035,0.005321810468878756
Species_Allometry,Talisay.h0,low,40.120000000000005,4.355766666666667,0.0017379745554971
Species_Allometry,Talisay.h0,high,54.28,4.351400000000001,0.0013247641299491066
Species_Allometry,Talisay.h1,low,0.6034999999999999,4.35345,0.002302534835060289
Species_Allometry,Talisay.h1,high,0.8164999999999999,4.347066666666667,0.002774086436208697
Species_Allometry,Banaba.l0,low,0.17,4.354266666666667,0.002129684379328614
Species_Allometry,Banaba.l0,high,0.22999999999999998,4.351083333333333,0.003959868123506002
Species_Allometry,Banaba.l1,low,1.53,4.35575,0.0009119576013537124
Species_Allometry,Banaba.l1,high,2.07,4.3468333333333335,0.007007654545011605
Species_Allometry,Banaba.h0,low,38.93,4.342183333333334,0.005321706075645052
Species_Allometry,Banaba.h0,high,52.669999999999995,4.354566666666667,0.0008498365855983265
Species_Allometry,Banaba.h1,low,0.612,4.349983333333333,0.002425329301810405
Species_Allometry,Banaba.h1,high,0.828,4.35025,0.0037729298959828135
Species_Allometry,Kabiki.l0,low,0.187,4.352433333333333,0.003814300576631193
Species_Allometry,Kabiki.l0,high,0.253,4.352983333333333,0.0025253162618219366
Species_Allometry,Kabiki.l1,low,1.5725,4.346216666666667,0.004608024401941709
Species_Allometry,Kabiki.l1,high,2.1275,4.350533333333334,0.0016483998975439333
Species_Allometry,Kabiki.h0,low,41.225,4.35105,0.00827355223991865
Species_Allometry,Kabiki.h0,high,55.775,4.355333333333333,0.0004938510796675832
Species_Allometry,Kabiki.h1,low,0.6204999999999999,4.3472,0.004894043999257211
Species_Allometry,Kabiki.h1,high,0.8394999999999999,4.348916666666667,0.004041726803676322
Species_Allometry,Duhat.l0,low,0.153,4.3513166666666665,0.005507620982682948
Species_Allometry,Duhat.l0,high,0.207,4.351566666666667,0.002981703465396343
Species_Allometry,Duhat.l1,low,1.4875,4.35625,0.0004966554808584723
Species_Allometry,Duhat.l1,high,2.0124999999999997,4.344716666666667,0.014084999901392597
Species_Allometry,Duhat.h0,low,35.955,4.349616666666666,0.00546996851504227
Species_Allometry,Duhat.h0,high,48.644999999999996,4.351016666666666,0.0016032952178424633
Species_Allometry,Duhat.h1,low,0.595,4.3492999999999995,0.0056124860801607295
Species_Allometry,Duhat.h1,high,0.8049999999999999,4.35405,0.0007449832212874998
Species_Allometry,Akleng-parang.l0,low,0.1275,4.3513,0.0031472209963714433
Species_Allometry,Akleng-parang.l0,high,0.1725,4.3537333333333335,0.0031129657170544276
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,4.340266666666666,0.0066944421392341625
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,4.353683333333334,0.0012472191289245888
Species_Allometry,Akleng-parang.h0,low,39.185,4.34825,0.007122616560412926
Species_Allometry,Akleng-parang.h0,high,53.015,4.348883333333333,0.006458758050551039
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,4.351583333333333,0.005301310110613244
Species_Allometry,Akleng-parang.h1,high,0.782,4.351500000000001,0.004185888993591083
Cooling_Model,decay_lambda,low,0.05,4.351483333333333,0.005225631274996353
Cooling_Model,decay_lambda,high,0.2,4.3503,0.0024711670657134098
Cooling_Model,cca_threshold,low,0.8,4.351116666666667,0.0011721300648347651
Cooling_Model,cca_threshold,high,1.6,4.35165,0.0017554676489945084
Cooling_Model,competition_k,low,2.5,4.3430333333333335,0.007961399932730921
Cooling_Model,competition_k,high,7.5,4.3488999999999995,0.0045068466433493175
Weighting,shade_weight,low,0.5,4.35205,0.0029402380855978612
Weighting,shade_weight,high,0.9,4.350083333333333,0.0008816020770289829
