category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.1527166666666666,0.0372037035193482
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.188216666666667,0.03868195818322659
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.287916666666667,0.002430477776532973
Species_Morphology,Narra.height_m,low,24.0,4.28535,0.006886218120274655
Species_Morphology,Narra.height_m,high,36.0,4.2913,0.0013272779161374428
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.287166666666667,8.498365856008812e-05
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.286433333333333,0.00444565955611618
Species_Morphology,Talisay.height_m,low,28.0,4.2915833333333335,0.001306607141501425
Species_Morphology,Talisay.height_m,high,42.0,4.286133333333333,0.003973313758340965
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.281999999999999,0.00792853496345135
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.288416666666667,0.0015134581446329572
Species_Morphology,Banaba.height_m,low,9.0,4.285316666666667,0.0035959081683985595
Species_Morphology,Banaba.height_m,high,18.0,4.276583333333333,0.010663046260593619
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.28715,0.0031877369192998676
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.285200000000001,0.0014352700094408116
Species_Morphology,Kabiki.height_m,low,9.0,4.2824,0.004204957391777779
Species_Morphology,Kabiki.height_m,high,18.0,4.290666666666667,0.003159465496286047
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.2802500000000006,0.003997707676489642
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.287483333333333,0.0016834158395625128
Species_Morphology,Duhat.height_m,low,14.0,4.286683333333333,0.0051630632595601345
Species_Morphology,Duhat.height_m,high,30.0,4.2833,0.003028475964353326
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.28705,0.004105078155975523
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.284166666666667,0.002713341523329339
Species_Morphology,Akleng-parang.height_m,low,18.0,4.288016666666667,0.0013725483193275136
Species_Morphology,Akleng-parang.height_m,high,30.0,4.285416666666667,0.0038110220268174552
Species_Allometry,Narra.l0,low,0.2125,4.28915,0.0005787918451396713
Species_Allometry,Narra.l0,high,0.2875,4.276666666666666,0.00460802440194129
Species_Allometry,Narra.l1,low,1.615,4.288466666666667,0.002805451043158318
Species_Allometry,Narra.l1,high,2.1849999999999996,4.2824833333333325,0.0011806307165615122
Species_Allometry,Narra.h0,low,43.52,4.285699999999999,0.002186702235483067
Species_Allometry,Narra.h0,high,58.879999999999995,4.288783333333334,0.0014343019982629292
Species_Allometry,Narra.h1,low,0.6375,4.2883666666666675,0.002478014438124896
Species_Allometry,Narra.h1,high,0.8624999999999999,4.2898499999999995,0.0008860022573334911
Species_Allometry,Talisay.l0,low,0.17,4.2853,0.0029088944062421853
Species_Allometry,Talisay.l0,high,0.22999999999999998,4.286716666666667,0.001359125535858586
Species_Allometry,Talisay.l1,low,1.53,4.287566666666667,0.003520022095890126
Species_Allometry,Talisay.l1,high,2.07,4.2895666666666665,0.0023630253678047423
Species_Allometry,Talisay.h0,low,40.120000000000005,4.291516666666666,0.0003472111109332432
Species_Allometry,Talisay.h0,high,54.28,4.2895166666666675,0.0008289886743630379
Species_Allometry,Talisay.h1,low,0.6034999999999999,4.288,0.0036175498153673087
Species_Allometry,Talisay.h1,high,0.8164999999999999,4.290466666666666,0.0021040965334847795
Species_Allometry,Banaba.l0,low,0.17,4.2902,0.0018055470085266867
Species_Allometry,Banaba.l0,high,0.22999999999999998,4.2861666666666665,0.005067269700955418
Species_Allometry,Banaba.l1,low,1.53,4.288966666666666,0.0012256517540563702
Species_Allometry,Banaba.l1,high,2.07,4.2868666666666675,0.002749040236559377
Species_Allometry,Banaba.h0,low,38.93,4.2909,0.0005671566509057162
Species_Allometry,Banaba.h0,high,52.669999999999995,4.283516666666666,0.0038663792996665204
Species_Allometry,Banaba.h1,low,0.612,4.289333333333333,0.0010679679562397724
Species_Allometry,Banaba.h1,high,0.828,4.288083333333334,0.0035337263932317927
Species_Allometry,Kabiki.l0,low,0.187,4.2822666666666676,0.006613790306792504
Species_Allometry,Kabiki.l0,high,0.253,4.2888166666666665,0.0014890339896124843
Species_Allometry,Kabiki.l1,low,1.5725,4.289,0.0020522345544957497
Species_Allometry,Kabiki.l1,high,2.1275,4.283866666666667,0.004772374205314744
Species_Allometry,Kabiki.h0,low,41.225,4.287816666666667,0.005300366863613188
Species_Allometry,Kabiki.h0,high,55.775,4.2833,0.006614504264619492
Species_Allometry,Kabiki.h1,low,0.6204999999999999,4.2891,0.002627736668694137
Species_Allometry,Kabiki.h1,high,0.8394999999999999,4.28745,0.004674576629671128
Species_Allometry,Duhat.l0,low,0.153,4.289499999999999,0.00442323411091925
Species_Allometry,Duhat.l0,high,0.207,4.289916666666667,0.003601465750989815
Species_Allometry,Duhat.l1,low,1.4875,4.285716666666667,0.005476667681070753
Species_Allometry,Duhat.l1,high,2.0124999999999997,4.288966666666666,0.003132180639036627
Species_Allometry,Duhat.h0,low,35.955,4.2837000000000005,0.0037989033505296094
Species_Allometry,Duhat.h0,high,48.644999999999996,4.284583333333333,0.006762930002759538
Species_Allometry,Duhat.h1,low,0.595,4.282166666666667,0.002270951831770743
Species_Allometry,Duhat.h1,high,0.8049999999999999,4.2866333333333335,0.005684090858605998
Species_Allometry,Akleng-parang.l0,low,0.1275,4.279433333333333,0.0036058594290711062
Species_Allometry,Akleng-parang.l0,high,0.1725,4.290183333333334,0.0007442371187256257
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,4.287133333333333,0.003184947234867566
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,4.283816666666667,0.0060283128282756695
Species_Allometry,Akleng-parang.h0,low,39.185,4.2867,0.0034178453251525014
Species_Allometry,Akleng-parang.h0,high,53.015,4.290783333333334,0.0012358083274608275
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,4.284433333333333,0.00570939771098687
Species_Allometry,Akleng-parang.h1,high,0.782,4.283233333333333,0.002817899138641209
Cooling_Model,decay_lambda,low,0.05,4.284766666666667,0.0034385882115902868
Cooling_Model,decay_lambda,high,0.2,4.284066666666667,0.002796525622188499
Cooling_Model,cca_threshold,low,0.8,4.285933333333333,0.007168255637802246
Cooling_Model,cca_threshold,high,1.6,4.286566666666666,0.006907162144389636
Cooling_Model,competition_k,low,2.5,4.285716666666667,0.006187936292137514
Cooling_Model,competition_k,high,7.5,4.288466666666667,0.0027130343815654477
Weighting,shade_weight,low,0.5,4.28795,0.004121488404286233
Weighting,shade_weight,high,0.9,4.280233333333333,0.010792152498717025
