parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.0316833333333335,4.4643500000000005,1.432666666666667,0.4724011342902993
Kabiki.crown_diameter_m,Species_Morphology,4.466183333333333,4.46165,0.004533333333333722,0.0014948011694622197
Duhat.l0,Species_Allometry,4.4628000000000005,4.466316666666667,0.0035166666666661683,0.001159570024839914
Banaba.l1,Species_Allometry,4.463133333333334,4.466283333333333,0.003149999999998876,0.0010386669890743913
Talisay.crown_diameter_m,Species_Morphology,4.46355,4.46635,0.00280000000000058,0.0009232595458444241
competition_k,Cooling_Model,4.4664,4.463699999999999,0.002700000000000813,0.0008902859906357784
Akleng-parang.height_m,Species_Morphology,4.462750000000001,4.46535,0.0025999999999992696,0.0008573124354265469
Duhat.h1,Species_Allometry,4.4632000000000005,4.465716666666666,0.0025166666666658344,0.0008298344727525778
shade_weight,Weighting,4.4632,4.465633333333333,0.0024333333333332874,0.0008023565100789016
Duhat.height_m,Species_Morphology,4.4664,4.4641166666666665,0.002283333333333637,0.0007528961772659329
Narra.l0,Species_Allometry,4.464300000000001,4.466383333333334,0.002083333333333215,0.0006869490668483485
Banaba.l0,Species_Allometry,4.4649833333333335,4.4664,0.0014166666666666217,0.00046712536545688875
Banaba.h1,Species_Allometry,4.464916666666666,4.46625,0.0013333333333331865,0.00043964740278291963
Narra.l1,Species_Allometry,4.462766666666667,4.46405,0.001283333333333303,0.0004231606251785968
Akleng-parang.l1,Species_Allometry,4.465883333333333,4.4646,0.001283333333333303,0.0004231606251785968
Akleng-parang.h0,Species_Allometry,4.465116666666667,4.4664,0.001283333333333303,0.0004231606251785968
Duhat.crown_diameter_m,Species_Morphology,4.466116666666667,4.4648666666666665,0.0012500000000006395,0.0004121694401092434
Talisay.h1,Species_Allometry,4.464616666666667,4.465833333333333,0.0012166666666661996,0.00040117825503930437
Talisay.l0,Species_Allometry,4.465166666666667,4.464133333333334,0.0010333333333329975,0.0003407267371566895
Banaba.h0,Species_Allometry,4.46425,4.465183333333333,0.0009333333333332305,0.00030775318194804373
Duhat.l1,Species_Allometry,4.465966666666667,4.46525,0.0007166666666664767,0.0002363104789957827
Akleng-parang.l0,Species_Allometry,4.466066666666666,4.46545,0.0006166666666667098,0.00020333692378713693
Narra.h1,Species_Allometry,4.465783333333333,4.466383333333334,0.000600000000000378,0.00019784133125246028
Kabiki.l0,Species_Allometry,4.465983333333334,4.4654,0.0005833333333340462,0.0001923457387177836
Akleng-parang.h1,Species_Allometry,4.466366666666667,4.465816666666667,0.0005499999999996064,0.00018135455364784453
Banaba.crown_diameter_m,Species_Morphology,4.465316666666667,4.4648666666666665,0.0004500000000007276,0.00014838099843949163
Narra.height_m,Species_Morphology,4.4658500000000005,4.465416666666667,0.00043333333333350765,0.0001428854059045221
Talisay.height_m,Species_Morphology,4.465016666666667,4.464616666666667,0.00039999999999995595,0.0001318942208348759
Talisay.l1,Species_Allometry,4.466383333333334,4.466016666666667,0.00036666666666640424,0.00012090303576522969
decay_lambda,Cooling_Model,4.463933333333333,4.4636000000000005,0.00033333333333285253,0.00010991185069558347
Talisay.h0,Species_Allometry,4.465800000000001,4.466133333333333,0.00033333333333196435,0.00010991185069529062
Akleng-parang.crown_diameter_m,Species_Morphology,4.4658500000000005,4.46615,0.0002999999999993008,9.892066562593727e-05
Duhat.h0,Species_Allometry,4.4658500000000005,4.466116666666667,0.0002666666666666373,8.792948055658392e-05
Kabiki.h0,Species_Allometry,4.46545,4.465683333333334,0.00023333333333397377,7.693829548723059e-05
Banaba.height_m,Species_Morphology,4.465800000000001,4.46565,0.0001500000000005386,4.94603328132615e-05
Kabiki.height_m,Species_Morphology,4.465616666666667,4.465483333333334,0.00013333333333243047,4.39647402779991e-05
Kabiki.h1,Species_Allometry,4.4663,4.4664,9.999999999976694e-05,3.297355520864576e-05
cca_threshold,Cooling_Model,4.466083333333334,4.466166666666667,8.333333333343518e-05,2.7477962673969086e-05
Narra.h0,Species_Allometry,4.4661,4.466116666666667,1.6666666667219943e-05,5.495592534969536e-06
Kabiki.l1,Species_Allometry,4.466066666666666,4.46605,1.6666666666331764e-05,5.4955925346766715e-06
