parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.66475,2.7190999999999996,0.054349999999999454,0.020391063199164394
decay_lambda,Cooling_Model,2.7252500000000004,2.715716666666667,0.009533333333333616,0.003576721297124347
Akleng-parang.height_m,Species_Morphology,2.7212,2.716916666666666,0.004283333333333861,0.0016070233800018238
Narra.l1,Species_Allometry,2.718116666666667,2.7212,0.0030833333333331048,0.0011568067132306566
shade_weight,Weighting,2.721033333333333,2.717966666666667,0.003066666666666329,0.001150553703969909
Banaba.h1,Species_Allometry,2.7212,2.7183500000000005,0.002849999999999575,0.0010692645835806889
Duhat.h0,Species_Allometry,2.718866666666667,2.7212,0.0023333333333330764,0.0008754212964988437
Narra.h1,Species_Allometry,2.720683333333333,2.7184333333333335,0.002249999999999641,0.0008441562501952719
Talisay.l0,Species_Allometry,2.72125,2.7190833333333333,0.00216666666666665,0.0008128912038918668
Talisay.crown_diameter_m,Species_Morphology,2.7175833333333337,2.7195500000000004,0.001966666666666672,0.0007378550927633944
Narra.height_m,Species_Morphology,2.7193166666666664,2.7175833333333337,0.0017333333333326983,0.0006503129631132602
Akleng-parang.l1,Species_Allometry,2.7194833333333333,2.7212,0.0017166666666668107,0.0006440599538528457
Banaba.height_m,Species_Morphology,2.7212,2.7194833333333333,0.0017166666666668107,0.0006440599538528457
cca_threshold,Cooling_Model,2.7194833333333333,2.7212,0.0017166666666668107,0.0006440599538528457
Narra.h0,Species_Allometry,2.72005,2.7217,0.0016499999999997073,0.000619047916809855
Akleng-parang.crown_diameter_m,Species_Morphology,2.7212,2.7197333333333336,0.0014666666666665051,0.0005502648149421303
Talisay.l1,Species_Allometry,2.7217,2.7203666666666666,0.0013333333333331865,0.0005002407408564822
Duhat.h1,Species_Allometry,2.7212,2.7200666666666664,0.0011333333333336526,0.00042520462972817644
Kabiki.h1,Species_Allometry,2.7212,2.7200666666666664,0.0011333333333336526,0.00042520462972817644
Talisay.height_m,Species_Morphology,2.7183499999999996,2.7194833333333333,0.0011333333333336526,0.00042520462972817644
Duhat.l0,Species_Allometry,2.7200666666666664,2.7212,0.0011333333333336526,0.00042520462972817644
Banaba.l1,Species_Allometry,2.7212,2.7200666666666664,0.0011333333333336526,0.00042520462972817644
Kabiki.l1,Species_Allometry,2.7212,2.7200666666666664,0.0011333333333336526,0.00042520462972817644
Banaba.l0,Species_Allometry,2.7200666666666664,2.7212,0.0011333333333336526,0.00042520462972817644
Kabiki.h0,Species_Allometry,2.7200666666666664,2.7212,0.0011333333333336526,0.00042520462972817644
Akleng-parang.h1,Species_Allometry,2.7197333333333336,2.718633333333333,0.001100000000000545,0.0004126986112068477
Duhat.crown_diameter_m,Species_Morphology,2.718549999999999,2.7194833333333333,0.0009333333333341187,0.0003501685185998707
Banaba.crown_diameter_m,Species_Morphology,2.7203166666666667,2.7194833333333333,0.0008333333333334636,0.00031265046303538465
Kabiki.crown_diameter_m,Species_Morphology,2.7194833333333333,2.7203166666666667,0.0008333333333334636,0.00031265046303538465
Talisay.h0,Species_Allometry,2.7206499999999996,2.719883333333333,0.0007666666666663602,0.0002876384259923939
Narra.l0,Species_Allometry,2.720216666666667,2.7209499999999998,0.0007333333333328085,0.0002751324074708986
Talisay.h1,Species_Allometry,2.7207500000000002,2.7200666666666664,0.0006833333333338132,0.00025637337968915534
Kabiki.height_m,Species_Morphology,2.7194833333333333,2.7194333333333334,4.999999999988347e-05,1.8759027782076428e-05
Duhat.height_m,Species_Morphology,2.7212,2.7212,0.0,0.0
Banaba.h0,Species_Allometry,2.7212,2.7212,0.0,0.0
Kabiki.l0,Species_Allometry,2.7200666666666664,2.7200666666666664,0.0,0.0
Duhat.l1,Species_Allometry,2.7200666666666664,2.7200666666666664,0.0,0.0
Akleng-parang.l0,Species_Allometry,2.7212,2.7212,0.0,0.0
Akleng-parang.h0,Species_Allometry,2.7194833333333333,2.7194833333333333,0.0,0.0
competition_k,Cooling_Model,2.7212,2.7212,0.0,0.0
