parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.101183333333333,3.8600833333333333,0.7589000000000001,0.2595949921324485
Akleng-parang.h0,Species_Allometry,3.8242,3.8644833333333337,0.04028333333333389,0.013779617340539743
Kabiki.h1,Species_Allometry,3.84195,3.880550000000001,0.038600000000000634,0.013203803790107623
Narra.h0,Species_Allometry,3.8806,3.8550333333333335,0.025566666666666293,0.008745524617454432
Talisay.l1,Species_Allometry,3.8449000000000004,3.8653999999999997,0.020499999999999297,0.0070123828418961805
Talisay.crown_diameter_m,Species_Morphology,3.878433333333333,3.8588500000000003,0.019583333333332842,0.0066988210075025105
Akleng-parang.crown_diameter_m,Species_Morphology,3.879383333333333,3.86055,0.018833333333333258,0.0064422704157259545
Duhat.crown_diameter_m,Species_Morphology,3.8851666666666667,3.866633333333333,0.018533333333333513,0.006339650179015362
Akleng-parang.l1,Species_Allometry,3.8477833333333336,3.8663166666666666,0.01853333333333307,0.00633965017901521
Akleng-parang.l0,Species_Allometry,3.84685,3.8641166666666664,0.01726666666666654,0.005906364735125723
Banaba.crown_diameter_m,Species_Morphology,3.862816666666667,3.845966666666667,0.01684999999999981,0.005763836628583091
Duhat.l0,Species_Allometry,3.8485333333333336,3.865016666666667,0.016483333333333405,0.0056384118948256835
decay_lambda,Cooling_Model,3.8788,3.8623333333333334,0.01646666666666663,0.005632710770563942
Talisay.h0,Species_Allometry,3.8638333333333335,3.849933333333333,0.013900000000000468,0.004754737634261636
competition_k,Cooling_Model,3.85835,3.871966666666667,0.01361666666666661,0.0046578185218124814
Talisay.h1,Species_Allometry,3.8698833333333336,3.8564000000000003,0.013483333333333292,0.004612209527718851
Kabiki.l0,Species_Allometry,3.864266666666667,3.8776166666666665,0.013349999999999529,0.004566600533625069
Banaba.height_m,Species_Morphology,3.8805,3.867233333333333,0.013266666666666982,0.004538094912316816
Banaba.l0,Species_Allometry,3.8539166666666667,3.8660833333333335,0.012166666666666881,0.00416182071104429
Narra.l1,Species_Allometry,3.8784500000000004,3.8685833333333335,0.009866666666666912,0.003375065562929093
Narra.height_m,Species_Morphology,3.8691833333333334,3.8599333333333337,0.009249999999999758,0.0031641239652458633
Kabiki.h0,Species_Allometry,3.8565166666666664,3.8656333333333337,0.009116666666667328,0.003118514971152537
Kabiki.l1,Species_Allometry,3.861416666666667,3.8524,0.009016666666667117,0.0030843082255822382
Duhat.height_m,Species_Morphology,3.8594500000000003,3.8684166666666666,0.008966666666666345,0.0030672048527968614
Narra.l0,Species_Allometry,3.8580333333333336,3.86665,0.008616666666666273,0.002947481243301044
Akleng-parang.h1,Species_Allometry,3.8558,3.8641666666666663,0.008366666666666411,0.002861964379375525
Banaba.h1,Species_Allometry,3.85735,3.8495333333333335,0.007816666666666361,0.0026738272787392623
Talisay.l0,Species_Allometry,3.871,3.877933333333333,0.006933333333333014,0.002371667692868924
shade_weight,Weighting,3.8720666666666665,3.8659666666666666,0.006099999999999994,0.002086611479783811
Banaba.l1,Species_Allometry,3.87125,3.8652499999999996,0.006000000000000227,0.0020524047342136646
Talisay.height_m,Species_Morphology,3.859833333333333,3.8647333333333336,0.0049000000000005706,0.001676130532941291
Duhat.h1,Species_Allometry,3.8557666666666663,3.852733333333333,0.0030333333333332213,0.0010376046156301637
Kabiki.crown_diameter_m,Species_Morphology,3.861333333333333,3.8583999999999996,0.0029333333333334544,0.0010033978700600171
Kabiki.height_m,Species_Morphology,3.86525,3.8678000000000003,0.0025500000000002743,0.0008722720120408681
cca_threshold,Cooling_Model,3.8670833333333334,3.8648666666666665,0.0022166666666669776,0.0007582495268067925
Narra.h1,Species_Allometry,3.8483666666666667,3.8500166666666664,0.0016499999999997073,0.0005644113019086361
Duhat.l1,Species_Allometry,3.8463,3.847583333333333,0.001283333333333303,0.000438986568151229
Banaba.h0,Species_Allometry,3.8517833333333336,3.8510166666666663,0.0007666666666672484,0.0002622517160386017
Duhat.h0,Species_Allometry,3.8620666666666668,3.862816666666667,0.0007500000000000284,0.00025655059177670807
Akleng-parang.height_m,Species_Morphology,3.8666,3.86655,4.999999999988347e-05,1.710337278507336e-05
