category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,2.9234000000000004,0.027526926211741524
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.101183333333333,0.12816999995665493
Species_Morphology,Narra.crown_diameter_m,high,34.0,3.8600833333333333,0.024789592350195913
Species_Morphology,Narra.height_m,low,24.0,3.8691833333333334,0.012172122064601377
Species_Morphology,Narra.height_m,high,36.0,3.8599333333333337,0.01793178431971814
Species_Morphology,Talisay.crown_diameter_m,low,9.0,3.878433333333333,0.01041731997951275
Species_Morphology,Talisay.crown_diameter_m,high,15.0,3.8588500000000003,0.011063754636951601
Species_Morphology,Talisay.height_m,low,28.0,3.859833333333333,0.030214630378160842
Species_Morphology,Talisay.height_m,high,42.0,3.8647333333333336,0.009154355369015396
Species_Morphology,Banaba.crown_diameter_m,low,10.0,3.862816666666667,0.012542749122722364
Species_Morphology,Banaba.crown_diameter_m,high,12.0,3.845966666666667,0.03568765737462873
Species_Morphology,Banaba.height_m,low,9.0,3.8805,0.008779806375996934
Species_Morphology,Banaba.height_m,high,18.0,3.867233333333333,0.015384046570681214
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,3.861333333333333,0.001995550606279374
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,3.8583999999999996,0.01799115523435517
Species_Morphology,Kabiki.height_m,low,9.0,3.86525,0.03409914466180458
Species_Morphology,Kabiki.height_m,high,18.0,3.8678000000000003,0.0043499042135048
Species_Morphology,Duhat.crown_diameter_m,low,8.0,3.8851666666666667,0.004523334561532674
Species_Morphology,Duhat.crown_diameter_m,high,11.0,3.866633333333333,0.025346411098132852
Species_Morphology,Duhat.height_m,low,14.0,3.8594500000000003,0.03018909847389743
Species_Morphology,Duhat.height_m,high,30.0,3.8684166666666666,0.01696527499204054
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,3.879383333333333,0.028836387121520823
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,3.86055,0.01730914979618198
Species_Morphology,Akleng-parang.height_m,low,18.0,3.8666,0.01257424616693465
Species_Morphology,Akleng-parang.height_m,high,30.0,3.86655,0.020047734701623052
Species_Allometry,Narra.l0,low,0.2125,3.8580333333333336,0.00785539446636645
Species_Allometry,Narra.l0,high,0.2875,3.86665,0.01505456741324705
Species_Allometry,Narra.l1,low,1.615,3.8784500000000004,0.03363155760095963
Species_Allometry,Narra.l1,high,2.1849999999999996,3.8685833333333335,0.019270112148667286
Species_Allometry,Narra.h0,low,43.52,3.8806,0.0103506038471192
Species_Allometry,Narra.h0,high,58.879999999999995,3.8550333333333335,0.02538209123684573
Species_Allometry,Narra.h1,low,0.6375,3.8483666666666667,0.016022085451720233
Species_Allometry,Narra.h1,high,0.8624999999999999,3.8500166666666664,0.02337467765671976
Species_Allometry,Talisay.l0,low,0.17,3.871,0.02202388854554678
Species_Allometry,Talisay.l0,high,0.22999999999999998,3.877933333333333,0.015601620286225342
Species_Allometry,Talisay.l1,low,1.53,3.8449000000000004,0.040613236758475564
Species_Allometry,Talisay.l1,high,2.07,3.8653999999999997,0.007908961162293554
Species_Allometry,Talisay.h0,low,40.120000000000005,3.8638333333333335,0.012374862513265411
Species_Allometry,Talisay.h0,high,54.28,3.849933333333333,0.028451869690564877
Species_Allometry,Talisay.h1,low,0.6034999999999999,3.8698833333333336,0.007687038152341729
Species_Allometry,Talisay.h1,high,0.8164999999999999,3.8564000000000003,0.020913512378364217
Species_Allometry,Banaba.l0,low,0.17,3.8539166666666667,0.007769634626044117
Species_Allometry,Banaba.l0,high,0.22999999999999998,3.8660833333333335,0.013967004769177256
Species_Allometry,Banaba.l1,low,1.53,3.87125,0.0025926177247457645
Species_Allometry,Banaba.l1,high,2.07,3.8652499999999996,0.012700065616628271
Species_Allometry,Banaba.h0,low,38.93,3.8517833333333336,0.020600256201211465
Species_Allometry,Banaba.h0,high,52.669999999999995,3.8510166666666663,0.026662499674428384
Species_Allometry,Banaba.h1,low,0.612,3.85735,0.02131869289301431
Species_Allometry,Banaba.h1,high,0.828,3.8495333333333335,0.005800191567717493
Species_Allometry,Kabiki.l0,low,0.187,3.864266666666667,0.0026662499674428115
Species_Allometry,Kabiki.l0,high,0.253,3.8776166666666665,0.0073833521444455555
Species_Allometry,Kabiki.l1,low,1.5725,3.861416666666667,0.016514354025782788
Species_Allometry,Kabiki.l1,high,2.1275,3.8524,0.004167933140858529
Species_Allometry,Kabiki.h0,low,41.225,3.8565166666666664,0.020591111890543676
Species_Allometry,Kabiki.h0,high,55.775,3.8656333333333337,0.007685628724371685
Species_Allometry,Kabiki.h1,low,0.6204999999999999,3.84195,0.03274235279674729
Species_Allometry,Kabiki.h1,high,0.8394999999999999,3.880550000000001,0.01306394529484381
Species_Allometry,Duhat.l0,low,0.153,3.8485333333333336,0.04016782156016034
Species_Allometry,Duhat.l0,high,0.207,3.865016666666667,0.011691972554800895
Species_Allometry,Duhat.l1,low,1.4875,3.8463,0.011922877169542462
Species_Allometry,Duhat.l1,high,2.0124999999999997,3.847583333333333,0.007122889550986649
Species_Allometry,Duhat.h0,low,35.955,3.8620666666666668,0.02298120004602799
Species_Allometry,Duhat.h0,high,48.644999999999996,3.862816666666667,0.0055474218235940734
Species_Allometry,Duhat.h1,low,0.595,3.8557666666666663,0.02078766995654443
Species_Allometry,Duhat.h1,high,0.8049999999999999,3.852733333333333,0.009595253456209025
Species_Allometry,Akleng-parang.l0,low,0.1275,3.84685,0.003965055695279258
Species_Allometry,Akleng-parang.l0,high,0.1725,3.8641166666666664,0.011085526098877294
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,3.8477833333333336,0.021382599363864815
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,3.8663166666666666,0.010721966030330283
Species_Allometry,Akleng-parang.h0,low,39.185,3.8242,0.025550864303711278
Species_Allometry,Akleng-parang.h0,high,53.015,3.8644833333333337,0.01061989746759453
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,3.8558,0.03175423856222432
Species_Allometry,Akleng-parang.h1,high,0.782,3.8641666666666663,0.0025483109874755243
Cooling_Model,decay_lambda,low,0.05,3.8788,0.004730926618186421
Cooling_Model,decay_lambda,high,0.2,3.8623333333333334,0.03002449925570059
Cooling_Model,cca_threshold,low,0.8,3.8670833333333334,0.02579939706444481
Cooling_Model,cca_threshold,high,1.6,3.8648666666666665,0.008457869445407499
Cooling_Model,competition_k,low,2.5,3.85835,0.017187398484548703
Cooling_Model,competition_k,high,7.5,3.871966666666667,0.021569744757156672
Weighting,shade_weight,low,0.5,3.8720666666666665,0.016593690233204957
Weighting,shade_weight,high,0.9,3.8659666666666666,0.024603567943604153
