k,with_secpi,with_mean_secpi,with_std_secpi,with_n_species,with_species,with_cooling_mean,with_coverage,without_secpi,without_mean_secpi,without_std_secpi,without_n_species,without_species,without_cooling_mean,without_coverage,secpi_difference,better_scenario
1,3.01935,3.01322315008061,0.010539162442683544,1,Kabiki,0.004287045627141205,6.2,1.5017000000000003,1.50086,0.0005388877434123716,1,Talisay,0.005800406859822737,7.64,1.51765,WITH
2,3.02665,3.0155164691753398,0.01152685415715877,1,Narra,0.0982032291306972,51.949999999999996,1.5008000000000001,1.50058,0.00019390719429664553,1,Narra,0.07233296281958923,46.29,1.52585,WITH
3,3.01975,2.9987299999999997,0.015489047743486478,2,"Narra, Duhat",0.08127287861616976,51.629999999999995,1.5003,1.5001000000000002,0.00012649110640672122,1,Narra,0.11836201315672906,56.330000000000005,1.5194500000000002,WITH
4,3.02435,3.0082199999999992,0.015273755268433624,2,"Narra, Akleng-parang",0.1591539701794474,67.58,1.5002,1.5000799999999999,7.483314773547058e-05,1,Narra,0.1630597881514399,63.38,1.5241500000000001,WITH
5,3.01815,3.0116,0.005116053166260128,2,"Narra, Akleng-parang",0.1618487236814316,53.42,1.5,1.5,0.0,1,Narra,0.17515092600624269,58.76,1.5181499999999999,WITH
