parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.9956666666666663,4.4623,1.4666333333333337,0.4884842765549975
Kabiki.height_m,Species_Morphology,4.466216666666667,3.493883333333334,0.9723333333333328,0.3238502317577506
Duhat.crown_diameter_m,Species_Morphology,3.4972499999999997,4.463866666666666,0.9666166666666665,0.32194620999750195
Akleng-parang.crown_diameter_m,Species_Morphology,3.497266666666667,3.9891333333333336,0.4918666666666667,0.16382358655527493
Banaba.crown_diameter_m,Species_Morphology,3.9842833333333325,4.46745,0.48316666666666785,0.16092592078603388
Banaba.height_m,Species_Morphology,3.98555,4.465183333333333,0.47963333333333313,0.15974909101001966
Kabiki.crown_diameter_m,Species_Morphology,3.9797833333333337,3.5004499999999994,0.4793333333333343,0.15964917150073585
Talisay.l0,Species_Allometry,3.0213949179405724,2.967878980389335,0.053515937551237514,0.017824287396676294
Banaba.l1,Species_Allometry,2.9722997993836273,3.02156059579359,0.049260796409962726,0.01640704868077251
Kabiki.h1,Species_Allometry,3.003293931169408,3.049597199374238,0.046303268204829884,0.01542199945760245
Akleng-parang.l1,Species_Allometry,3.015759635476671,2.97275854045977,0.04300109501690086,0.014322161042571549
Banaba.l0,Species_Allometry,2.982749218035638,3.024804464557711,0.04205524652207293,0.014007131984370235
Narra.l0,Species_Allometry,2.9814048114605023,3.0210565498494044,0.039651738388902125,0.013206607473613631
Narra.h1,Species_Allometry,2.985733417281717,3.0244694139005124,0.038735996618795454,0.012901605912613325
Duhat.h0,Species_Allometry,3.0471420607709696,3.0123225050558506,0.034819555715118966,0.011597176401827072
competition_k,Cooling_Model,2.9866333333333337,3.0133333333333336,0.026699999999999946,0.008892836326292692
Duhat.l0,Species_Allometry,3.0335627931332083,3.008050716440137,0.025512076693071428,0.008497180613307535
Kabiki.l0,Species_Allometry,3.0268287574839303,3.002522992435457,0.024305765048473482,0.00809540038806744
Banaba.h0,Species_Allometry,3.0180655457849777,2.9962978140624337,0.02176773172254398,0.007250070239821472
Narra.h0,Species_Allometry,3.000116061116477,2.978361600177242,0.021754460939234832,0.007245650205967915
decay_lambda,Cooling_Model,2.984683333333333,3.0038666666666667,0.019183333333333774,0.0063892975103390405
Kabiki.h0,Species_Allometry,2.9983003794044945,3.015213560993175,0.016913181588680715,0.00563318934925112
Duhat.h1,Species_Allometry,3.020088369542845,3.0069530969391027,0.013135272603742365,0.0043748999762665735
Talisay.l1,Species_Allometry,3.016054719992235,3.0042180720769074,0.011836647915327791,0.003942373504230856
Banaba.h1,Species_Allometry,3.017157553087634,3.0081066812715425,0.009050871816091544,0.0030145289015265074
Duhat.height_m,Species_Morphology,4.459266666666667,4.467516666666667,0.008249999999999424,0.002747786505314971
Akleng-parang.h1,Species_Allometry,2.9782690701355783,2.9864498317472514,0.008180761611673137,0.0027247256193643358
Akleng-parang.h0,Species_Allometry,3.015212302340991,3.0080818439483363,0.007130458392654582,0.0023749063452178794
Talisay.crown_diameter_m,Species_Morphology,4.459533333333334,4.466033333333333,0.006499999999999062,0.0021649227011570887
Akleng-parang.l0,Species_Allometry,2.9924711408459053,2.986247649929252,0.006223490916653418,0.0020728271947553644
Narra.l1,Species_Allometry,2.9981850485363886,3.0042851304950418,0.006100081958653192,0.0020317239863398458
Talisay.h1,Species_Allometry,2.9897522156378553,2.995824452901978,0.0060722372641226485,0.0020224498922943126
Talisay.h0,Species_Allometry,3.004930128415289,2.9994900466946297,0.00544008172065924,0.00181190098664717
Duhat.l1,Species_Allometry,2.9833331946805366,2.9878581808552807,0.004524986174744061,0.0015071146603272013
cca_threshold,Cooling_Model,3.002983333333333,2.9985999999999997,0.004383333333333184,0.0014599350523189156
Talisay.height_m,Species_Morphology,4.464766666666667,4.467783333333334,0.0030166666666673336,0.001004746176691221
Akleng-parang.height_m,Species_Morphology,4.467266666666667,4.4702,0.0029333333333330103,0.0009769907574452836
Narra.height_m,Species_Morphology,4.462433333333333,4.464366666666667,0.0019333333333335645,0.0006439257264981758
shade_weight,Weighting,3.0093666666666667,3.0100833333333337,0.0007166666666669208,0.0002386966055123109
Kabiki.l1,Species_Allometry,2.9879608516745932,2.9884195134976697,0.0004586618230764117,0.00015276421429728665
