parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.0018833333333332,4.484416666666667,1.482533333333334,0.49353344245013475
Banaba.h0,Species_Allometry,4.482500000000001,4.48445,0.001949999999999008,0.0006491524953529586
Talisay.crown_diameter_m,Species_Morphology,4.4844,4.482616666666667,0.001783333333333026,0.0005936693760922216
Talisay.h0,Species_Allometry,4.484616666666667,4.482983333333333,0.0016333333333333755,0.0005437345687574695
Akleng-parang.crown_diameter_m,Species_Morphology,4.483033333333334,4.484533333333333,0.0014999999999991687,0.0004993480733484069
Duhat.l0,Species_Allometry,4.4846,4.483133333333334,0.0014666666666665051,0.0004882514494964369
Narra.height_m,Species_Morphology,4.483250000000001,4.484683333333334,0.0014333333333329534,0.0004771548256441713
Banaba.h1,Species_Allometry,4.482833333333333,4.4840333333333335,0.001200000000000756,0.0003994784586791986
Kabiki.l1,Species_Allometry,4.4832833333333335,4.484483333333333,0.0011999999999998678,0.00039947845867890295
Talisay.l1,Species_Allometry,4.484683333333334,4.483583333333334,0.001100000000000101,0.0003661885871224016
Banaba.height_m,Species_Morphology,4.484233333333333,4.4832,0.0010333333333329975,0.00034399533941787026
Talisay.h1,Species_Allometry,4.483733333333334,4.484683333333333,0.0009499999999986741,0.0003162537797870583
shade_weight,Weighting,4.4847,4.4838,0.000900000000000567,0.000299608844009399
Talisay.height_m,Species_Morphology,4.483733333333333,4.4846,0.0008666666666670153,0.0002885122201571333
Kabiki.l0,Species_Allometry,4.484766666666666,4.4839,0.0008666666666661271,0.00028851222015683763
Akleng-parang.h0,Species_Allometry,4.483966666666666,4.4832,0.0007666666666663602,0.0002552223486003363
Narra.h0,Species_Allometry,4.484533333333333,4.4838,0.0007333333333336967,0.0002441257247483663
Kabiki.h1,Species_Allometry,4.483783333333333,4.484483333333333,0.000700000000000145,0.00023302910089610063
competition_k,Cooling_Model,4.4841500000000005,4.4835,0.0006500000000002615,0.00021638416511784997
Banaba.crown_diameter_m,Species_Morphology,4.484133333333333,4.483516666666667,0.0006166666666667098,0.00020528754126558432
Kabiki.h0,Species_Allometry,4.4847,4.484100000000001,0.0005999999999994898,0.00019973922933930364
Talisay.l0,Species_Allometry,4.483783333333333,4.484366666666666,0.0005833333333331581,0.00019419091741331863
Duhat.crown_diameter_m,Species_Morphology,4.483899999999999,4.484416666666667,0.000516666666667831,0.00017199766970937865
Akleng-parang.height_m,Species_Morphology,4.484266666666667,4.483750000000001,0.0005166666666660547,0.0001719976697087873
Narra.h1,Species_Allometry,4.4836,4.484100000000001,0.0005000000000006111,0.00016644935778309798
cca_threshold,Cooling_Model,4.4848333333333334,4.48435,0.0004833333333333911,0.0001609010458568173
Narra.l1,Species_Allometry,4.484233333333333,4.4847,0.00046666666666705936,0.00015535273393083233
Banaba.l1,Species_Allometry,4.484266666666667,4.4847,0.00043333333333350765,0.00014425611007856665
Akleng-parang.h1,Species_Allometry,4.484533333333334,4.484166666666667,0.0003666666666672924,0.00012206286237433099
Duhat.h1,Species_Allometry,4.484083333333333,4.483766666666667,0.00031666666666652077,0.00010541792659578465
Banaba.l0,Species_Allometry,4.484666666666667,4.484366666666666,0.000300000000000189,9.986961466979965e-05
Akleng-parang.l1,Species_Allometry,4.48365,4.4834000000000005,0.00024999999999941735,8.322467889125331e-05
Narra.l0,Species_Allometry,4.484266666666667,4.484483333333333,0.00021666666666675383,7.212805503928332e-05
Kabiki.height_m,Species_Morphology,4.484266666666667,4.48405,0.00021666666666675383,7.212805503928332e-05
decay_lambda,Cooling_Model,4.483783333333333,4.483966666666666,0.00018333333333320212,6.1031431187017656e-05
Duhat.height_m,Species_Morphology,4.4848333333333334,4.484666666666667,0.00016666666666687036,5.548311926103266e-05
Akleng-parang.l0,Species_Allometry,4.4846,4.48445,0.0001500000000005386,4.9934807335047664e-05
Duhat.l1,Species_Allometry,4.484366666666666,4.48425,0.0001166666666660987,3.883818348248632e-05
Duhat.h0,Species_Allometry,4.4838000000000005,4.483733333333333,6.666666666710341e-05,2.2193247704531334e-05
Kabiki.crown_diameter_m,Species_Morphology,4.483566666666667,4.483516666666667,5.000000000077165e-05,1.664493577854634e-05
