category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,3.0039166666666666,0.000824957911384267
Species_Morphology,Narra.crown_diameter_m,low,12.0,3.0018833333333332,0.0010757426375404356
Species_Morphology,Narra.crown_diameter_m,high,34.0,4.484416666666667,0.00040069384267228046
Species_Morphology,Narra.height_m,low,24.0,4.483250000000001,0.0004949747468306857
Species_Morphology,Narra.height_m,high,36.0,4.484683333333334,2.3570226039496653e-05
Species_Morphology,Talisay.crown_diameter_m,low,9.0,4.4844,0.00042426406871219586
Species_Morphology,Talisay.crown_diameter_m,high,15.0,4.482616666666667,0.0002867441755681076
Species_Morphology,Talisay.height_m,low,28.0,4.483733333333333,0.0014383632673594239
Species_Morphology,Talisay.height_m,high,42.0,4.4846,0.0001414213562373986
Species_Morphology,Banaba.crown_diameter_m,low,10.0,4.484133333333333,0.0006649979114419491
Species_Morphology,Banaba.crown_diameter_m,high,12.0,4.483516666666667,0.0010741922029549023
Species_Morphology,Banaba.height_m,low,9.0,4.484233333333333,0.0003324989557210562
Species_Morphology,Banaba.height_m,high,18.0,4.4832,0.0010677078252033878
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,4.483566666666667,0.0005920773222777906
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,4.483516666666667,0.0008720983634634696
Species_Morphology,Kabiki.height_m,low,9.0,4.484266666666667,0.0003472111109332432
Species_Morphology,Kabiki.height_m,high,18.0,4.48405,0.00046368092477494955
Species_Morphology,Duhat.crown_diameter_m,low,8.0,4.483899999999999,0.0014988884770612229
Species_Morphology,Duhat.crown_diameter_m,high,11.0,4.484416666666667,0.0006195876765143664
Species_Morphology,Duhat.height_m,low,14.0,4.4848333333333334,0.00018856180831639194
Species_Morphology,Duhat.height_m,high,30.0,4.484666666666667,0.0002054804667655379
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,4.483033333333334,0.0013097921802924376
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,4.484533333333333,0.00023570226039580392
Species_Morphology,Akleng-parang.height_m,low,18.0,4.484266666666667,0.0009285592184786902
Species_Morphology,Akleng-parang.height_m,high,30.0,4.483750000000001,0.0012389511693364265
Species_Allometry,Narra.l0,low,0.2125,4.484266666666667,0.00024944382578513934
Species_Allometry,Narra.l0,high,0.2875,4.484483333333333,0.0003064129385142939
Species_Allometry,Narra.l1,low,1.615,4.484233333333333,0.0003299831645537905
Species_Allometry,Narra.l1,high,2.1849999999999996,4.4847,0.0
Species_Allometry,Narra.h0,low,43.52,4.484533333333333,0.00023570226039580392
Species_Allometry,Narra.h0,high,58.879999999999995,4.4838,0.0006377042156569658
Species_Allometry,Narra.h1,low,0.6375,4.4836,0.0010984838035523264
Species_Allometry,Narra.h1,high,0.8624999999999999,4.484100000000001,0.0008485281374239729
