k,with_secpi,with_mean_secpi,with_std_secpi,with_n_species,with_species,with_cooling_mean,with_coverage,without_secpi,without_mean_secpi,without_std_secpi,without_n_species,without_species,without_cooling_mean,without_coverage,secpi_difference,better_scenario
1,3.0646871846215458,3.0575753235934404,0.008718686197011634,1,Narra,0.050721704405633526,35.64,1.5019,1.50156,0.0003136877428271789,1,Akleng-parang,0.049259744669469606,33.339999999999996,1.5627871846215458,WITH
2,3.1326,3.10757,0.04778919961664975,2,"Duhat, Narra",0.02704210328761518,18.68,1.5006,1.5003799999999998,0.00017204650534081295,2,"Duhat, Narra",0.04393070268031358,28.71,1.6320000000000001,WITH
3,3.0905,3.0773900000000003,0.012371879404520598,2,"Akleng-parang, Narra",0.10186996128766306,49.55,1.5005,1.50024,0.00016248076809271771,2,"Kabiki, Narra",0.06958258433600176,33.629999999999995,1.59,WITH
4,3.1081499999999997,3.05618,0.05155481160861707,2,"Narra, Talisay",0.10650923437648033,53.63,1.5003,1.50008,0.00011661903789689316,3,"Talisay, Akleng-parang, Narra",0.10519098183247245,55.510000000000005,1.6078499999999998,WITH
5,3.05175,3.03616,0.019899356773524068,2,"Narra, Talisay",0.1334517852631941,54.84,1.5003,1.50006,0.00011999999999998679,3,"Banaba, Duhat, Narra",0.12937330525696225,66.92,1.5514500000000002,WITH
