parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.993983333333334,3.9806500000000002,0.9866666666666664,0.3403785561509624
cca_threshold,Cooling_Model,3.9345833333333338,3.996783333333333,0.06219999999999937,0.02145764816816519
Duhat.h0,Species_Allometry,3.9571166666666664,4.006033333333334,0.048916666666667385,0.016875186863227868
Kabiki.l1,Species_Allometry,3.9384166666666665,3.986966666666666,0.04854999999999965,0.01674869483222545
Akleng-parang.l0,Species_Allometry,3.949583333333333,3.9979999999999998,0.048416666666666774,0.016702697730043046
Talisay.l1,Species_Allometry,3.939833333333334,3.987033333333333,0.04719999999999924,0.016282974172626866
Talisay.l0,Species_Allometry,4.02115,3.985516666666667,0.03563333333333274,0.012292725558289624
Akleng-parang.h1,Species_Allometry,3.9698333333333338,4.002833333333333,0.032999999999999474,0.011384282790184039
Kabiki.height_m,Species_Morphology,3.9415833333333334,3.9729666666666668,0.03138333333333332,0.010826567926220644
Talisay.crown_diameter_m,Species_Morphology,3.9885333333333333,3.958083333333333,0.030450000000000088,0.010504588210942743
Kabiki.h1,Species_Allometry,3.96185,3.992266666666667,0.03041666666666698,0.01049308893539718
Banaba.l0,Species_Allometry,3.98605,3.9562666666666666,0.029783333333333495,0.010274602700029955
Talisay.height_m,Species_Morphology,3.9819833333333334,3.956183333333333,0.025800000000000267,0.008900439272325937
competition_k,Cooling_Model,3.9972333333333334,3.972566666666667,0.024666666666666615,0.008509463903774045
Kabiki.crown_diameter_m,Species_Morphology,3.9665500000000002,3.990416666666667,0.023866666666666703,0.0082334812906787
Kabiki.h0,Species_Allometry,3.9674,3.9437,0.023699999999999832,0.008175984912950428
Narra.height_m,Species_Morphology,3.9658,3.945016666666666,0.020783333333334042,0.007169798302707175
Banaba.l1,Species_Allometry,3.985533333333333,3.9650833333333337,0.020449999999999413,0.007054805547250321
Kabiki.l0,Species_Allometry,3.97945,3.9598666666666666,0.019583333333333286,0.006755824383063851
Narra.h0,Species_Allometry,3.9863666666666666,3.9677666666666664,0.018600000000000172,0.006416595754467529
Duhat.l0,Species_Allometry,3.980183333333334,3.9979999999999998,0.017816666666665704,0.006146362779144583
Duhat.crown_diameter_m,Species_Morphology,3.983383333333333,3.9658166666666665,0.017566666666666286,0.006060118212552479
Banaba.h1,Species_Allometry,3.9849666666666668,3.96925,0.0157166666666666,0.005421908419769533
Duhat.l1,Species_Allometry,3.9746666666666663,3.9878,0.013133333333333663,0.004530714564982521
Narra.h1,Species_Allometry,3.96215,3.974116666666667,0.011966666666667347,0.004128239920885219
Akleng-parang.height_m,Species_Morphology,3.990933333333333,3.9807333333333332,0.010199999999999765,0.0035187783169659506
shade_weight,Weighting,3.983683333333333,3.9736666666666665,0.010016666666666563,0.0034555323014649722
Banaba.crown_diameter_m,Species_Morphology,3.956983333333333,3.9668166666666664,0.00983333333333336,0.0033922862859639942
Akleng-parang.h0,Species_Allometry,3.99005,3.981333333333333,0.008716666666666928,0.003007060555185114
Narra.l1,Species_Allometry,3.9729000000000005,3.981216666666667,0.008316666666666528,0.0028690692486372884
decay_lambda,Cooling_Model,3.988433333333333,3.981566666666667,0.00686666666666591,0.002368850762401708
Talisay.h1,Species_Allometry,3.97045,3.965033333333333,0.005416666666667069,0.0018686322761667406
Talisay.h0,Species_Allometry,3.9837666666666665,3.97855,0.005216666666666647,0.0017996366228927513
Banaba.height_m,Species_Morphology,3.9952,4.000283333333333,0.0050833333333328845,0.0017536395207100406
Banaba.h0,Species_Allometry,3.962816666666667,3.9673666666666665,0.00454999999999961,0.0015696511119798109
Narra.l0,Species_Allometry,3.9719833333333336,3.9750333333333336,0.003049999999999997,0.0010521837124261163
Duhat.h1,Species_Allometry,3.987183333333333,3.9898333333333333,0.0026500000000004853,0.0009141924058785972
Duhat.height_m,Species_Morphology,3.9887666666666663,3.99065,0.001883333333333681,0.0006497090683288153
Akleng-parang.crown_diameter_m,Species_Morphology,3.972766666666667,3.97175,0.0010166666666666657,0.00035072790414203875
Akleng-parang.l1,Species_Allometry,3.9907333333333335,3.9908,6.666666666665932e-05,2.299855109127872e-05
